objectid,parentid,title,creator,date,archival date,description,site number,subject,location,latitude,longitude,source,identifier,type,format original,format,language,rights,rightsstatement,finding aid,display_template,filename,object_location,image_small,image_thumb
latahsites0001,,University of Idaho Gymnasium and Armory,,,,"Originally a gym and an armory, this building is significant as it is the first of two buildings designed by the architectural firm Tourtellotte and Hummel. The university completed this Romanesque-eclectic style building in 1904 and it served as the gymnasium and armory until 1928 when Memorial Gym was finished.",36,armory; gymnasium; art; architecture; exterior; buildings; campuses,"Moscow, Idaho",46.726415,-117.01234,,,,,,,,,,historic_site,,,,
latahsites0001a,latahsites0001,University of Idaho Gymnasium and Armory [01],University of Idaho Photographic Services,2022,2022,,36,,,,,"“Seasonal Campus – Spring,” 2022. University of Idaho Photographic Services, University of Idaho.",FY22_695200722_MG06_0005,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,art-architecture-south-001.jpg,https://objects.lib.uidaho.edu/latahsites/art-architecture-south-001.jpg,https://objects.lib.uidaho.edu/latahsites/small/art-architecture-south-001_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/art-architecture-south-001_th.jpg
latahsites0001b,latahsites0001,University of Idaho Gymnasium and Armory [02],,1907,1907,Historic image of the University of Idaho Gymnasium and Armory. Note the canon at the front of the building.,36,,,,,,PG1_54-07,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG1_54-07.jpg,https://objects.lib.uidaho.edu/latahsites/PG1_54-07.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg1_54-07_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg1_54-07_th.jpg
latahsites0002,,Administration Building,,,,"This massive red brick Tudor-Gothic building replaced the original one that burned in 1906. A large central bay, crowned with four turrets and battlements dominates the east façade. Stained glass windows, arched entryways and a theater organ in the renovated auditorium are featured. The building was designed by prominent Boise architect John E. Tourtellotte.",45,buildings; campuses; Administration building,"Moscow, Idaho",46.725966,-117.010529,,,,,,,,,,historic_site,,,,
latahsites0002a,latahsites0002,Administration Building [01],University of Idaho Visual Productions,2023,2023,,45,,,,,"“Seasonal – Fall,” 2023. University of Idaho Visual Productions, University of Idaho.",2310_SEM_Seasonal_Fall_1141544494_GMG_0001,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,admin-building-001.jpg,https://objects.lib.uidaho.edu/latahsites/admin-building-001.jpg,https://objects.lib.uidaho.edu/latahsites/small/admin-building-001_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/admin-building-001_th.jpg
latahsites0002b,latahsites0002,Administration Building [02],,1919,1919,Historic image of the Administrative Building at the University of Idaho.,45,,,,,"University of Idaho Campus Photographs, PG 001, University of Idaho Library Special Collections and Archives",PG1_52-10,Image;StillImage,sepia tint photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG1_52-10.jpg,https://objects.lib.uidaho.edu/latahsites/PG1_52-10.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg1_52-10_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg1_52-10_th.jpg
latahsites0003,,Memorial Gymnasium,,,,"Constructed in 1928–29, this elaborate Tudor-Gothic building has arches, tall colored-glass windows, cast stone friezes on the octagonal towers, and gargoyle football players above the narrow windows. It is dedicated to citizens who died in the First World War.",46,gymnasiums; buildings; campuses; memorials; World War I,"Moscow, Idaho",46.726517,-117.013969,,,,,,,,,,historic_site,,,,
latahsites0003a,latahsites0003,Memorial Gymnasium [01],University of Idaho Visual Productions,2023,2023,,46,,,,,"“University of Idaho – spring stock,” 2023. University of Idaho Visual Productions, University of Idaho.",2305_SEM_Spring-23_Campus_Photo_June1_1073609407-GB-07,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,mem-gym-001.jpg,https://objects.lib.uidaho.edu/latahsites/mem-gym-001.jpg,https://objects.lib.uidaho.edu/latahsites/small/mem-gym-001_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/mem-gym-001_th.jpg
latahsites0003b,latahsites0003,Memorial Gymnasium [02],,1928,1928,Memorial Gymnasium at the University of Idaho during construction.,46,,,,,"University of Idaho Campus Photographs, PG 001, University of Idaho Library Special Collections and Archives",PG1_61-02,Image;StillImage,sepia tint photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG1_61-02.jpg,https://objects.lib.uidaho.edu/latahsites/PG1_61-02.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg1_61-02_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg1_61-02_th.jpg
latahsites0003c,latahsites0003,Memorial Gymnasium [03],,1928,1928,Memorial Gymnasium at the University of Idaho near the end of construction.,46,,,,,"University of Idaho Campus Photographs, PG 001, University of Idaho Library Special Collections and Archives",PG1_61-32,Image;StillImage,sepia tint photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG1_61-32.jpg,https://objects.lib.uidaho.edu/latahsites/PG1_61-32.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg1_61-32_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg1_61-32_th.jpg
latahsites0003d,latahsites0003,Memorial Gymnasium [04],,1933,1933,"Historic image of the Memorial Gymnasium, northeast corner.",46,,,,,"University of Idaho Campus Photographs, PG 001, University of Idaho Library Special Collections and Archives",PG1_61-10,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG1_61-10.jpg,https://objects.lib.uidaho.edu/latahsites/PG1_61-10.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg1_61-10_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg1_61-10_th.jpg
