objectid,parentid,title,creator,location,latitude,longitude,date,description,subject,source,transcriber,type,format,language,identifier,rights,rightsstatement,display_template,filename,object_transcript,image_small,image_thumb,object_location,image_alt_text
sakaino001,,1942 Fort Missoula Internment Camp Journal (Volume 4),"Sakaino, Bunro","Fort Missoula, MT",46.844072,-114.061906,1942,Cover of a diary kept by Bunro Sakaino between March 1942 and 1943.,concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn,mg387_cover,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_cover.pdf,/objects/cover.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-cover_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-cover_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_cover.pdf,
sakaino002,sakaino001,1942 Fort Missoula Internment Camp Journal (Volume 4),,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-001,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-001.jpg,/objects/cover.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-001_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-001_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-001.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino003,,"March 23, 1942 entry","Sakaino, Bunro","Fort Missoula, MT",46.844072,-114.061906,1942-03-23,"March 23, 1942, diary entry written by Bunro Sakaino while he was incarcerated at the Fort Missoula Internment Camp in Missoula, Montana.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn; eng,mg387_1_7-1942-03-23,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-03-23.pdf,/objects/1942-03-23.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-03-23_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-03-23_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-03-23.pdf,
sakaino004,sakaino003,"March 23, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn; eng,mg387_1_7-002,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-002.jpg,/objects/mg387_1_7-002.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-002_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-002_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-002.jpg,Lined notebook paper with handwritten Japanese and English text in ink
sakaino005,sakaino003,"March 23, 1942 entry, page 2",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn; eng,mg387_1_7-003,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-003.jpg,/objects/mg387_1_7-003a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-003_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-003_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-003.jpg,Lined notebook paper with handwritten Japanese and English text in ink
sakaino006,,"March 24, 1942 entry","Sakaino, Bunro","Fort Missoula, MT",46.844072,-114.061906,1942-03-24,"March 24, 1942, diary entry written by Bunro Sakaino while he was incarcerated at the Fort Missoula Internment Camp in Missoula, Montana.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn; eng,mg387_1_7-1942-03-24,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-03-24.pdf,/objects/1942-03-24.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-03-24_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-03-24_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-03-24.pdf,
sakaino007,sakaino006,"March 24, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn; eng,mg387_1_7-003,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-003.jpg,/objects/mg387_1_7-003b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-003_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-003_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-003.jpg,Lined notebook paper with handwritten Japanese and English text in ink
sakaino008,sakaino006,"March 24, 1942 entry, page 2",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn; eng,mg387_1_7-004,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-004.jpg,/objects/mg387_1_7-004a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-004_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-004_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-004.jpg,Lined notebook paper with handwritten Japanese and English text in ink
sakaino009,,"March 25, 1942 entry","Sakaino, Bunro","Fort Missoula, MT",46.844072,-114.061906,1942-03-25,"March 25, 1942, diary entry written by Bunro Sakaino while he was incarcerated at the Fort Missoula Internment Camp in Missoula, Montana.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn; eng,mg387_1_7-1942-03-25,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-03-25.pdf,/objects/1942-03-25.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-03-25_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-03-25_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-03-25.pdf,
sakaino010,sakaino009,"March 25, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn; eng,mg387_1_7-004,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-004.jpg,/objects/mg387_1_7-004b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-004_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-004_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-004.jpg,Lined notebook paper with handwritten Japanese and English text in ink
