objectid,filename,identifier,box number,title,creator,description,date,archivaldate,date is approximate,subject,sensitive,location,idaho_county,latitude,longitude,source,type,format original,digital collection,findingaid,contributing institution,language,rights,rightsstatement,format,display_template,object_location,image_small,image_thumb,relation,notes
tabor0001,pg83-b05-f42-001_001.jpg,pg83-b05-f42-001_001,5,"Catholic Daughter Graduation photos, Kellogg, Idaho [01]","Tabor's Photo Service, Wallace Idaho",Nine unidentified female graduates standing wearing caps and gowns.,1941-06-19,19 June 1941,,commencements; women,,"Kellogg, Idaho",Shoshone County,47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-001_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-001_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-001_001_th.jpg,,
tabor0002,pg83-b05-f42-001_002.jpg,pg83-b05-f42-001_002,5,"Catholic Daughter Graduation photos, Kellogg, Idaho [02]","Tabor's Photo Service, Wallace Idaho","Nine unidentified female graduates standing wearing caps and gowns, facing towards the left.",1941-06-19,19 June 1941,,commencements; women,,"Kellogg, Idaho",Shoshone County,47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-001_002.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-001_002_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-001_002_th.jpg,,
tabor0003,pg83-b05-f42-001_003.jpg,pg83-b05-f42-001_003,5,"Catholic Daughter Graduation photos, Kellogg, Idaho [03]","Tabor's Photo Service, Wallace Idaho",Nineteen unidentified women standing in two rows.,1941-06-19,19 June 1941,,commencements; women,,"Kellogg, Idaho",Shoshone County,47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-001_003.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-001_003_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-001_003_th.jpg,,
tabor0004,pg83-b05-f42-001_004.jpg,pg83-b05-f42-001_004,5,"Catholic Daughter Graduation photos, Kellogg, Idaho [04]","Tabor's Photo Service, Wallace Idaho",Nine unidentified female graduates wearing caps and gowns stand in front of ten unidentified women.,1941-06-19,19 June 1941,,commencements; women,,"Kellogg, Idaho",Shoshone County,47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-001_004.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-001_004_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-001_004_th.jpg,,
tabor0005,pg83-b05-f42-001_005.jpg,pg83-b05-f42-001_005,5,"Catholic Daughter Graduation photos, Kellogg, Idaho [05]","Tabor's Photo Service, Wallace Idaho",Nine unidentified female graduates wearing caps and gowns stand in front of ten unidentified women.,1941-06-19,19 June 1941,,commencements; women,,"Kellogg, Idaho",Shoshone County,47.5426822,-116.1442045,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-001_005.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-001_005_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-001_005_th.jpg,,
tabor0006,pg83-b05-f42-002_001.jpg,pg83-b05-f42-002_001,5,"American Red Cross nurses, surgical dressing [01]",,American Red Cross nurses work with surgical dressing.,,undated,,nurses; women,,,,,,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-002_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-002_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-002_001_th.jpg,,
tabor0007,pg83-b05-f42-003_001.jpg,pg83-b05-f42-003_001,5,"American Red Cross nurses, surgical dressing [02]",,Eight American Red Cross nurses sit at a table with surgical dressing and tools as two other nurses stand watching them. An American Red Cross flag hangs in the background.,,undated,,nurses; women,,,,,,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-003_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-003_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-003_001_th.jpg,,
tabor0008,pg83-b05-f42-004_001.jpg,pg83-b05-f42-004_001,5,"American Red Cross nurses, surgical dressing [03]",,"American Red Cross nurses sit at two tables working with surgical dressing and tools as two nurses stand watching them. An American flag and a Red Cross flag hangs on the wall. A sign that reads ""Red Cross Surgical Dressing"" hangs on the door.",,undated,,nurses; women,,,,,,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-004_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-004_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-004_001_th.jpg,,
tabor0009,pg83-b05-f42-005_001.jpg,pg83-b05-f42-005_001,5,Men and Marching band members gathered together for photo in celebration of Aerie #54. Fraternal Order of Eagles 34th anniversary meeting [01],"Tabor's Photo Service, Wallace Idaho",Men and marching band members gather for a photograph in celebration of Aerie #54 Fraternal Order of Eagles' 34th anniversary meeting. A welcome sign hangs between two American flags in the background.,1936-02-19,19 February 1936,,men; bands; flags,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-005_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-005_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-005_001_th.jpg,,
tabor0010,pg83-b05-f42-006_001.jpg,pg83-b05-f42-006_001,5,Men and Marching band members gathered together for photo in celebration of Aerie #54. Fraternal Order of Eagles 34th anniversary meeting [02],"Tabor's Photo Service, Wallace Idaho",Men and marching band members gather for a photograph in celebration of Aerie #54 Fraternal Order of Eagles' 34th anniversary meeting. A welcome sign hangs between two American flags in the background.,1936,1936,,men; bands; flags,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-006_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-006_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-006_001_th.jpg,,
