objectid,filename,title,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_thumb,image_small,reference_url
jam001,mg400_1_16-001.jpg,Letter from Elizabeth H. Brooks to James A. McClure,"Brooks, Elizabeth H.",1965-02-19,,A letter from Elizabeth H. Brooks in which she urges Senator James A. McClure to seek greater funding for education in Idaho.,senators; education; children (people by age group),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_1_16-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_1_16-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_1_16-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_1_16-001_sm.jpg,/digital/jam/items/mg400_1_16-001.jpg
jam002,mg400_1_16-002.jpg,Letter from James A. McClure to Elizabeth H. Brooks,"McClure, James A.",1965-02-23,,"Senator James A. McClure responds to a letter from constituent Elizabeth H. Brooks, explaining his perspective on funding for public education.",senators; education; children (people by age group),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_1_16-002,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_1_16-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_1_16-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_1_16-002_sm.jpg,/digital/jam/items/mg400_1_16-002.jpg
jam003,mg400_103_3663-001.pdf,James A. McClure letter to Steve Yurich (Forest Service) about prescribed burns,"McClure, James A.",1973-04-05,,"Letter from Senator James A. McClure to Steve Yurich, Regional Forester with the US Forest Service, in which McClure raises concerns about Forest Service plans for prescribed burns.",fires (events); forest management; national forests,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_103_3663-001,Text,correspondence,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_103_3663-001.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_103_3663-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_103_3663-001_sm.jpg,/digital/jam/items/mg400_103_3663-001.pdf
jam004,mg400_103_3663-002.pdf,James A. McClure Questions Forest Burning Study,"McClure, James A.",1973-04-09,,Press release describing Senator James A. McClure's response to a US Forest Service environmental impact statement related to controlled burning in Idaho timberlands.,fires (events); forest management; national forests,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_103_3663-002,Text,correspondence,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_103_3663-002.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_103_3663-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_103_3663-002_sm.jpg,/digital/jam/items/mg400_103_3663-002.pdf
jam005,mg400_153_5925-001.jpg,Cecil Andrus letter,"Andrus, Cecil D.",1975-06-05,,Letter from Governor Cecil D. Andrus to Senator James A. McClure regarding the amended version of the Hells Canyon bill.,senators; governors (public officers); correspondence; bills (legislative records),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_153_5925-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_153_5925-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_153_5925-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_153_5925-001_sm.jpg,/digital/jam/items/mg400_153_5925-001.jpg
jam006,mg400_172_6585-001.jpg,Hells Canyon National Recreation Area,Nezperce National Forest; Payette National Forest; Wallowa-Whitman National Forest,1976,,Interim recreation management plan for Hells Canyon of the Snake River.,recreation areas; plans (reports); politics,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_172_6585-001,Text,mangement plan,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_172_6585-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_172_6585-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_172_6585-001_sm.jpg,/digital/jam/items/mg400_172_6585-001.jpg
jam007,mg400_172_6585-002.jpg,Steve Yurich letter,"Yurich, Steve",1976-02-12,,Letter from Regional Forester Steve Yurich to Senator James McClure regarding a study Congress required as part of the creation of Hells Canyon National Recreation Area.,recreation areas; senators; correspondence,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_172_6585-002,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_172_6585-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_172_6585-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_172_6585-002_sm.jpg,/digital/jam/items/mg400_172_6585-002.jpg
jam008,mg400_172_6585-004.jpg,A canyon preserved,"Woods, Roy C.",1976-06-27,,"Newspaper page featuring images from the dedication ceremony for Hells Canyon National Recreation Area held in Lewiston, Idaho.",newspaper clippings; senators; communication (function),"Lewiston, Idaho",46.40380158,-116.9995355,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_172_6585-004,Text,newspaper clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_172_6585-004.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_172_6585-004_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_172_6585-004_sm.jpg,/digital/jam/items/mg400_172_6585-004.jpg
jam009,mg400_172_6585-005.jpg,Hells Canyon - Preserved,"McClure, James",1976-06-21,,News release from Senator McClure's office released following the dedication ceremonies for Hells Canyon National Recreation Area.,communication (function); recreation areas; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_172_6585-005,Text,correspondence,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_172_6585-005.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_172_6585-005_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_172_6585-005_sm.jpg,/digital/jam/items/mg400_172_6585-005.jpg
jam010,mg400_172_6586_001.jpg,Hells Canyon National Recreation Area Dedication Ceremony planned,,1976-04-23,,"News release from Senator McClure's office. Announces the dedication ceremony of the Hells Canyon NRA that was to be held in both Lewiston, Idaho and Hat Point, Oregon over the course of June 19th and June 20th.",papers (documents); communication (function); recreation areas,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_172_6586-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_172_6586_001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_172_6586_001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_172_6586_001_sm.jpg,/digital/jam/items/mg400_172_6586_001.jpg
jam011,mg400_183_7055-001.pdf,Young Adult Conservation Corps on National Forests in Idaho,"Hamre, Vern",1977-11-08,,"A letter from Vern Hamre, Regional Forester with the US Forest Service, to Senator James A. McClure, in which Hamre informs McClure of plans to implement the Young Adult Conservation Corps on National Forests in Idaho. Hamre includes details about the planned program.",national forests; youth (people); employment (general economic concept),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_183_7055-001,Text,correspondence,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_183_7055-001.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_183_7055-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_183_7055-001_sm.jpg,/digital/jam/items/mg400_183_7055-001.pdf
jam012,mg400_2_39-001.pdf,Telegram from Falk about stamps,"Falk, Mrs. E. R.",1961-01-23,,A telegram from Mrs. E. R. Falk encourages Senator James A. McClure to vote in favor of keeping S&H Green Stamps.,trading stamps; telegrams; legislators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_2_39-001,Text,telegram,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_2_39-001.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_2_39-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_2_39-001_sm.jpg,/digital/jam/items/mg400_2_39-001.pdf
jam013,mg400_2_39-002.pdf,Telegram from Lowe about stamps,"Lowe, Lester L.",1961-01-23,,A telegram from Lester L. Lowe encourages Senator James A. McClure to vote in favor of keeping S&H Green Stamps.,trading stamps; telegrams; legislators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_2_39-002,Text,telegram,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_2_39-002.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_2_39-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_2_39-002_sm.jpg,/digital/jam/items/mg400_2_39-002.pdf
jam014,mg400_2_39-003.pdf,Telegram from Robinson about stamps,"Robinson, Doris",1961-01-24,,A telegram from Doris Robinson encourages Senator James A. McClure to vote in favor of keeping S&H Green Stamps.,trading stamps; telegrams; legislators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_2_39-003,Text,telegram,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_2_39-003.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_2_39-003_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_2_39-003_sm.jpg,/digital/jam/items/mg400_2_39-003.pdf
jam015,mg400_2_39-004.pdf,Telegram from Pierce about stamps,"Pierce, L.",1961-01-19,,A telegram from L. Pierce encourages Senator James A. McClure to vote in favor of keeping S&H Green Stamps.,trading stamps; telegrams; legislators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_2_39-004,Text,telegram,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_2_39-004.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_2_39-004_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_2_39-004_sm.jpg,/digital/jam/items/mg400_2_39-004.pdf
jam016,mg400_218_8525-001.jpg,James A. McClure letter to Max Peterson (Forest Service) about fires,"McClure, James A.",1979-10-17,,"Letter from Senator James A. McClure to Max Peterson, Chief of the US Forest Service, in which McClure asks for information about the 1979 fire season for the purposes of informing fire policy on national forest lands.",fires (events); forest management; national forests,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_218_8525-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_218_8525-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_218_8525-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_218_8525-001_sm.jpg,/digital/jam/items/mg400_218_8525-001.jpg
jam017,mg400_295_11907-001.jpg,Middle Snake Special Poll results,"McClure, James",1971-09-06,,"Press release announcing the results of a poll conducted by Representative McClure of his constituants regarding the Middle Snake. Specifically discusses dams, the creation of a recreation area, and wild river designation.",communication (function); members of the house of representatives; public opinion polls,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_295_11907-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_295_11907-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_295_11907-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_295_11907-001_sm.jpg,/digital/jam/items/mg400_295_11907-001.jpg
jam018,mg400_295_11912-001.pdf,Statement of Honorable James A. McClure to Parks and Recreation Subcomittee,"McClure, James",1974-04-23,,"Statement by Senator McClure on S. 2233, the legislation regarding the proposed creation of Hells Canyon National Recreation Area.",communication (function); recreation areas; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_295_11912-001,Text,correspondence,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_295_11912-001.pdf,https://objects.lib.uidaho.edu/jam/thumbs/mg400_295_11912-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_295_11912-001_sm.jpg,/digital/jam/items/mg400_295_11912-001.pdf
jam019,mg400_295_11914-001.jpg,McClure Promises Act On To Protect Hells Canyon,Associated Press,,,Newspaper clipping in which McClure announced protections for the MIddle Snake River.,communication (function); senators; newspaper clippings,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_295_11914-001,Text,newspaper clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_295_11914-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_295_11914-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_295_11914-001_sm.jpg,/digital/jam/items/mg400_295_11914-001.jpg
