objectid,parentid,display_template,title,presenter,event,date,description,bio,media_type,item_number,event_type,creator,publisher_digital,source,identifier,format_original,format,type,rights,rightsstatement,subject,language,youtubeid,filename,object_location,image_small,image_thumb
nezpercejazz,,event,A Discussion with Nez Perce Jazz Musicians,Janis Johnson;Loretta Halfmoon;Shirley McCormack;Silas Whitman,A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Nez Perce Indian bands played sophisticated jazz in the 1930's and 40's? Wearing eagle feather headdresses and buckskin pants? In fancy white clubs where they sometimes had to eat in the kitchen or leave town as soon as their last set ended? Yes, yes, and yes.

Music has always been a central form of power and identity for Native peoples, and it was challenged and complicated when European newcomers introduced their musical traditions to indigenous North Americans, often through the setting of the compulsory boarding school. Boarding schools emphasized Western music education in specifically in order to ""civilize"" Indians, yet cross-cultural forms of indigenous musical performance soon began to take shape. The bicultural productions and identities that grew from this musical attempt to ""Kill the Indian and Save the Man"" are many and diverse.

During this oppressive era of Indian-white relations, Indian musicians found ways to ""re-present"" American Indian history, culture, and contemporary issues, and to imagine and construct liberatory identities, communities, and nations through a musical performative cultural politics. A musical education that began in U.S. government schools often as martial music such as Sousa marches, was transformed by Indian musicians into one of the most liberatory of all musical genres: jazz. This is an example of Anishinabe (Ojibway) scholar Gerald Vizenor's concept of survivance: survival + resistance and the repudiation of dominance. Learning about Nez Perce Indian jazz performance history helps us understand that tradition is not static, that identities are emergent, and that Native people make things their own in the interest of the continuance of the people and nation.

This presentation will illustrate what results when one spoke in the wheel dominates and oppresses another. But in that oppression there can also arise and be created a new spoke of resistance, in the form of Nez Perce Jazz. It is through this musical expression that Nez Perce musicians found a way to transcend and bridge what can divide and create schisms: speaking in the universal language of music.

","Janis Johnson is an Assistant Professor in the English Department, teaching Native American literature and film, African-American literature and ethnic studies. She is also the Acting Coordinator of the American Indian Studies Program, which offers a Minor and an Interdisciplinary Masters degree. Her research on Nez Perce jazz bands (during the early to mid part of the twentieth century) was conducted by Jan in 2007-2009 with Nez Perce tribal members and archival sources. Her research was inspired by the stories Nez Perce friends and acquaintances shared with Jan about their family members' musical careers, and also by Philip Deloria's argument in Indians in Unexpected Places. Deloria maintains that American Indian people took advantage of the opportunities that arose from colonization, participating actively in the making of American modernity and popular culture (2004: 231-32). With two colleagues, Jan is currently working on a critical collection of essays on contemporary Native music (Big Band to Hip Hop), tentatively entitled, Indigenous Pop: Contemporary Native American Music.",,,,,,,,,,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,,,,https://objects.lib.uidaho.edu/turningwheel/small/turning251_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning251_th.jpg
turning251,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  1","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  1 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured: Shirley McCormack.",,Photograph,1,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_01,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning251.jpg,https://objects.lib.uidaho.edu/turningwheel/turning251.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning251_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning251_th.jpg
turning252,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  2","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  2 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Silas Whitman and Shirley McCormack.",,Photograph,2,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_02,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning252.jpg,https://objects.lib.uidaho.edu/turningwheel/turning252.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning252_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning252_th.jpg
turning253,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  3","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  3 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured:  Shirley McCormack.",,Photograph,3,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_03,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning253.jpg,https://objects.lib.uidaho.edu/turningwheel/turning253.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning253_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning253_th.jpg
turning254,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  4","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  4 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured: Silas Whitman.",,Photograph,4,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_04,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning254.jpg,https://objects.lib.uidaho.edu/turningwheel/turning254.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning254_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning254_th.jpg
turning255,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  5","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  5 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Loretta Halfmoon, Silas Whitman, and  Shirley McCormack.",,Photograph,5,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_05,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning255.jpg,https://objects.lib.uidaho.edu/turningwheel/turning255.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning255_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning255_th.jpg
turning257,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  6","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  6 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Loretta Halfmoon and Silas Whitman .",,Photograph,6,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_06,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning257.jpg,https://objects.lib.uidaho.edu/turningwheel/turning257.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning257_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning257_th.jpg
turning258,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  7","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  7 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Silas Whitman and Shirley McCormack.",,Photograph,7,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_07,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning258.jpg,https://objects.lib.uidaho.edu/turningwheel/turning258.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning258_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning258_th.jpg
turning259,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  8","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  8 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured: Silas Whitman.",,Photograph,8,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_08,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning259.jpg,https://objects.lib.uidaho.edu/turningwheel/turning259.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning259_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning259_th.jpg
turning260,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  9","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  9 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured: Loretta Halfmoon.",,Photograph,9,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_09,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning260.jpg,https://objects.lib.uidaho.edu/turningwheel/turning260.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning260_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning260_th.jpg
