objectid,title,description,date,date is approximate?,creator,subject,latitude,longitude,donor,digital collection,source,finding aid,identifier,rights,rightsstatement,format original,type,format,language,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb,errors
priestlake126,Aftermath of Idaho Inn fire,"Reminsence of the Idaho Inn after its fire in Coolin, Idaho. The restaurant can be seen in the background. Donated by Marjorie Paul Roberts via Priest Lake Museum.",1942-12-01,y,,fire;burning;building;structures,48.480144,-116.847314,Marjorie Paul Roberts via Priest Lake Mus.,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-02-30,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/126,126,212.jp2,/priestlake/image/212.jp2,image,priestlake126.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake126.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake126_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake126_th.jpg,""
priestlake153,Aftermath of the Diamond Creek slash burn,View of the aftermath of the Diamond Creek slash burn.,1942,,,mountains;fires;burning;forest,48.555292,-116.951394,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-24-01,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,6x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/153,153,237.jp2,/priestlake/image/237.jp2,image,priestlake153.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake153.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake153_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake153_th.jpg,""
priestlake128,Albert Hagman and Ed Hampshire,Albert Hagman and Ed Hampshire working at a sawmill.,1944,y,,sawmills;people;workers;mills,48.179433,-116.964129,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-23-01,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,7x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/128,128,214.jp2,/priestlake/image/214.jp2,image,priestlake128.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake128.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake128_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake128_th.jpg,""
priestlake132,Albert Hagman family,Pictured is the Albert Hagman family..,1910,y,,families;family;group;people,48.179089,-116.965288,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-23-13,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,8x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/132,132,218.jp2,/priestlake/image/218.jp2,image,priestlake132.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake132.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake132_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake132_th.jpg,""
priestlake152,Albert Hagman homestead,View of the Albert Hagman homestead.,1890,y,,homestead;homesteads;buildings,48.510903,-116.931567,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-23-08,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,8x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/152,152,236.jp2,/priestlake/image/236.jp2,image,priestlake152.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake152.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake152_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake152_th.jpg,""
priestlake146,"Albert, Helen, and Clarence Hagman","Albert, Helen, and Clarence Hagman posing in front of their home.",1890,y,,cabins (houses);family;people;homestead,48.510911,-116.931511,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-23-07,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,8x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/146,146,230.jp2,/priestlake/image/230.jp2,image,priestlake146.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake146.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake146_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake146_th.jpg,""
priestlake133,Art Marsten running sawmill,"Art Marsten (front) running the sawmill as three other men look on. Coolin Bay, Idaho. Donated by Marjorie (Paul) Roberts through Priest Lake Museum.",1915,y,,sawmills;workers;people;saw;mills;timber,48.476134,-116.843607,Marjorie (Paul) Roberts through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-02-32,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,6 1/2x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/133,133,219.jp2,/priestlake/image/219.jp2,image,priestlake133.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake133.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake133_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake133_th.jpg,""
priestlake305,Astor and Wirt Calfee,Astor and Wirt Calfee pose for a photograph in a wooded area. Donated by Margaret Randall through Priest Lake Museum.,1944,y,,couples;portraits;people,48.477622,-116.85122,Margaret Randall through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-08-02,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/305,305,374.jp2,/priestlake/image/374.jp2,image,priestlake305.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake305.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake305_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake305_th.jpg,""
priestlake303,Astor and Wirt Calfee with Lewis,Portrait of Astor and Wirt Calfee with Lewis. Donated by Margaret Randall through Priest Lake Museum.,1944,y,,families;family;group;people;portrait,48.477642,-116.85131,Margaret Randall through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-08-01,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/303,303,372.jp2,/priestlake/image/372.jp2,image,priestlake303.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake303.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake303_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake303_th.jpg,""
priestlake307,Astor Calfee,Astor Calfee standing next to a sign. Donated by Margaret Randall through Priest Lake Museum.,1944,y,,people;beach;lake;women,48.477611,-116.85111,Margaret Randall through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-08-04,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/307,307,376.jp2,/priestlake/image/376.jp2,image,priestlake307.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake307.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake307_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake307_th.jpg,""
