term,definition,images
Bateau,A flat-bottomed boat with raked bow and stern and flaring sides.,priestriver0275
Boom,"Pole, timber, or metal arm protruding from a machine; for example, the boom on a loading machine.|Raft of logs or a loose bag of logs in the water.|Logs connected together to form a pocket to confine logs into a raft.",priestriver0260
Cant Hook,"Stout wooden lever used in rolling logs. Differs from a peavey in that it has no spike in the end of the stock.",priestriver0296
Crawler,"Tractor operating on continuous treads instead of wheels.",priestriver0419
Flume,"Trough of water used to convey wood.",priestriver0575
Jammer,"Lightweight, two-drum yarder usually on a truck with a spar and boom; may be used for both short distance yarding and loading.",priestriver0430
Peavey,"Stout wooden lever, fitted with a strong, sharp spike used for rolling logs.",priestriver0330
Rollway,"Any place where logs are dumped and they roll or slide to their resting place.",priestriver0439
Sorting Gaps,"The areas on a log pond enclosed by boom sticks into which logs are sorted.",priestriver0256
Splash Dam,"A temporary wooden dam used to raise the water level in streams to float logs downstream to sawmills.",priestriver0289
Streamside or Buffer Strip:,"Strip of uncut timber left between cutting units or adjacent to another resource.",priestriver0422
