file name,title,creator,description,date,date is approximate,ccc-camp-number,ccc-company-number,subject,source,location,idaho_county,latitude,longitude,format-original,digital collection,format,identifier,type,contributing institution,language,rights,rightsstatement,oclc number,date created,date modified,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
,Camp Deep Creek,United States Forest Service,Birds-eye view of tents and buildings at Camp Deep Creek.,1934,y,F-45,C-952,tents (portable buildings); forests (plant communities); barracks; aerial photographs; aerial views,Bitterroot National Forest,"Deep Creek, Idaho; Darby, Montana; Bitterroot National Forest",Idaho County,45.7204,-114.5121,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,BitterrootNF_001,Image;StillImage,Bitterroot National Forest,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/0,0,1.jpg,/cccidaho/image/1.jpg,cccidaho0,image,cccidaho0.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho0.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho0_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho0_th.jpg,
,Camp Band,,"Six young men play instruments (saxophone, drums, piano, trumpet) as the Camp Heyburn State Park band.",1935,y,SP-1,C-1995,recreation; entertaining; bands (ensembles),Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_001,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/1,1,10.jpg,/cccidaho/image/10.jpg,cccidaho1,image,cccidaho1.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho1.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho1_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho1_th.jpg,
,Camp Heyburn,,A view of Camp Heyburn trees and buildings.,1935,y,SP-1,C-1995,barracks,Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_002,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/2,2,11.jpg,/cccidaho/image/11.jpg,cccidaho2,image,cccidaho2.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho2.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho2_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho2_th.jpg,
,Carpentry Class,,CCC men participating in a carpentry class.,1935,y,SP-1,C-1995,group portraits; skilled workers; carpentry (process); adult education,Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_003,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/3,3,12.jpg,/cccidaho/image/12.jpg,cccidaho3,image,cccidaho3.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho3.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho3_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho3_th.jpg,
,CCC Carnival Boxing Match,"Swan, K.D.","A boxing match at the CCC Carnival in McCall, Idaho. 'Boxing wound up the day's sports at the CCC Carnival in McCall, Idaho - 3 camps competing.'",1933,,,,recreation; entertaining; boxing; sports,"U.S. Forest Service, Region 4","McCall, Idaho",Valley County,44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_002,Image;StillImage,"United States Forest Service, Region 5",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/4,4,13.jpg,/cccidaho/image/13.jpg,cccidaho4,image,cccidaho4.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho4.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho4_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho4_th.jpg,
,Man in Corner of Boxing Match during CCC Carnival,"Swan, K.D.","A boxing entrant in his corner, being medically examined while a man announces with a megaphone in the background at the CCC Carnival in McCall, Idaho. 'Boxing wound up the day's sports at the CCC Carnival in McCall, Idaho - 3 camps competing.'",1933,,,,recreation; entertaining; boxing; sports; examination (function); megaphones,"U.S. Forest Service, Region 4","McCall, Idaho",Valley County,44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_003,Image;StillImage,"United States Forest Service, Region 6",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/5,5,14.jpg,/cccidaho/image/14.jpg,cccidaho5,image,cccidaho5.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho5.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho5_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho5_th.jpg,
,Young Men Diving into Lake during CCC Carnival,"Swan, K.D.","Young men dive into the lake from the pier during the swimming race at the CCC Carnival in McCall, Idaho. Observers in the background point to something across the lake.",1933,,,,recreation; entertaining; swimming; sports; races (events),"U.S. Forest Service, Region 4","McCall, Idaho",Valley County,44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_004,Image;StillImage,"United States Forest Service, Region 7",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/6,6,15.jpg,/cccidaho/image/15.jpg,cccidaho6,image,cccidaho6.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho6.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho6_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho6_th.jpg,
,Manning Bridge,"Bailey, Reed W.","Manning Crevice Suspension Bridge, built on the Salmon River Road Project by CCC men.",1935,,,,bridges (built works); rivers; gorges (landform); suspension bridges,"U.S. Forest Service, Region 4",Salmon National Forest,Idaho County,45.4016,-116.1169,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_005,Image;StillImage,"United States Forest Service, Region 8",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/7,7,16.jpg,/cccidaho/image/16.jpg,cccidaho7,image,cccidaho7.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho7.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho7_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho7_th.jpg,
,Camp Redfish Lake,"Swan, K.D.","View of Redfish Lake CCC Camp and Redfish Lake, Idaho.",1933,,,,forests (plant communities); barracks; rivers; valleys (landforms); lakes (bodies of water),"U.S. Forest Service, Region 4",Sawtooth National Forest; Redfish Lake,Custer County,44.1464,-114.9159,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_006,Image;StillImage,"United States Forest Service, Region 9",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/8,8,17.jpg,/cccidaho/image/17.jpg,cccidaho8,image,cccidaho8.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho8.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho8_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho8_th.jpg,
,Boxing Match during CCC Carnival,"Swan, K.D.","A boxing match at the CCC Carnival in McCall, Idaho. 'Boxing wound up the day's sports at the CCC Carnival in McCall, Idaho - 3 camps competing.'",1933,,,,recreation; entertaining; boxing; sports,"U.S. Forest Service, Region 4","McCall, Idaho; Payette Lake",Valley County,44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_001,Image;StillImage,"United States Forest Service, Region 4",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/9,9,18.jpg,/cccidaho/image/18.jpg,cccidaho9,image,cccidaho9.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho9.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho9_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho9_th.jpg,
