title,creator,description,archival_date,date,date approximate,subject,source,finding_aid,publisher,book relationship,identifier,object_location,image_small,image_thumb,format original,format,type,display_template,rights,rightsstatement,language,date digital,location,state,county,city,geonames,latitude,longitude,date created,date modified,contentdm file path,objectid
Clarence Charles Strong,"Sowder, Charles","Portrait of Clarence Charles Strong, co-author of the book 'White Pine: King of Many Waters'.",1969,1969,yes,portraits; author; writer,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. ii,69_2_B-1,https://objects.lib.uidaho.edu/whitepine/69_2_B-1.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_b-1_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_b-1_th.jpg,black and white print,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Kootenai County, ID",Idaho,Kootenai County,,http://www.geonames.org/5597922/kootenai-county.html,47.6746,-116.7,2016-08-12,2018-05-01,/whitepine/image/135.jp2,whitepine40
Clyde Stephen Webb,,"Portrait of Clyde Stephen Webb, co-author of the book 'White Pine: King of Many Waters'.",1954,1954,yes,portraits; author; writer,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. ii,69_2_B-2,https://objects.lib.uidaho.edu/whitepine/69_2_B-2.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_b-2_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_b-2_th.jpg,black and white print,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Kootenai County, ID",Idaho,Kootenai County,,http://www.geonames.org/5597922/kootenai-county.html,47.6746,-116.7,2016-08-12,2018-05-01,/whitepine/image/136.jp2,whitepine41
Logs Towed Down St. Maries River,"Fullerton, Neil",Brailed booms of logs being towed along narrow St. Maries River channel.,1942-06-06,1942-06-06,,log (wood); rivers; logging,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 129. Also print.,69_2_B-7,https://objects.lib.uidaho.edu/whitepine/69_2_B-7.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_b-7_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_b-7_th.jpg,black and white negative,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Stickney Gulch, Benewah County, ID",Idaho,Benewah County,Stickney Gulch,http://www.geonames.org/5608953/stickney-gulch.html,47.2554,-116.6053,2016-08-12,2018-05-01,/whitepine/image/138.jp2,whitepine43
Tugboat 'Coeur d'Alene'  [03],,Tugboat towing logs on St. Joe River.,1941-05-08,1941-05-08,yes,log (wood); rivers; logging; boat; tugboat,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 127,69_2_B-11,https://objects.lib.uidaho.edu/whitepine/69_2_B-11.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_b-11_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_b-11_th.jpg,black and white print,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Stickney Gulch, Benewah County, ID",Idaho,Benewah County,Stickney Gulch,http://www.geonames.org/5608953/stickney-gulch.html,47.2594,-116.6044,2016-08-12,2018-05-01,/whitepine/image/139.jp2,whitepine44
Tugboat 'Hercules' [03],"Fullerton, Neil","Tugboat 'Hercules' towing several brails of logs on St. Maries River. Picture taken from the old bridge, new bridge in background.",1942-06-06,1942-06-06,,tugboats; rivers; log (wood); bridges (built works); houseboats;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-10,https://objects.lib.uidaho.edu/whitepine/69_2_I-10.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_i-10_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_i-10_th.jpg,black and white negative,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Saint Maries River, Benewah County, ID",Idaho,Benewah County,Saint Maries River,http://www.geonames.org/5606239/saint-maries-river.html,47.3168,-116.5548,2016-08-12,2018-05-01,/whitepine/image/140.jp2,whitepine46
Tugboat 'Hercules' [04],"Fullerton, Neil",Tugboat 'Hercules' (a Lafferty Company tugboat) and it's driver towing a brail of logs on the St. Maries River. Note the new bridge in the background.,1942-06-06,1942-06-06,,tugboats; rivers; log (wood); bridges (built works); shipmasters;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-9,https://objects.lib.uidaho.edu/whitepine/69_2_I-9.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_i-9_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_i-9_th.jpg,black and white negative,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Stickney Gulch, Benewah County, ID",Idaho,Benewah County,Stickney Gulch,http://www.geonames.org/5608953/stickney-gulch.html,47.2594,-116.6044,2016-08-12,2018-05-01,/whitepine/image/141.jp2,whitepine47
Tugboat 'Hercules' [01],"Fullerton, Neil",Tugboat 'Hercules' towing  several brails of logs on the St. Maries River. Note the new bridge in the background.,1942-06-06,1942-06-06,,tugboats; rivers; log (wood); bridges (built works);,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-12,https://objects.lib.uidaho.edu/whitepine/69_2_I-12.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_i-12_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_i-12_th.jpg,black and white negative,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Saint Maries River, Benewah County, ID",Idaho,Benewah County,Saint Maries River,http://www.geonames.org/5606239/saint-maries-river.html,47.3168,-116.5548,2016-08-12,2018-05-01,/whitepine/image/142.jp2,whitepine48
Corliss Steam Engine Sign,"Fullerton, Neil","Corliss Steam Engine sign in Newport, Washington. Sign reads as follows: 'Corliss Steam Engine 'The Big Wheel'. Engine Data- 478 Horsepower, 22 inch cylinder-42 inch stroke, 120 pounds P.S.I. steam pressure, 63,000 pounds in weight. Wheel data- 16 feet in diameter, 100 R.P.M., 42 inch face, 20,000 pounds in weight. The Big Wheel was manufactured by Aliss Chalmers in 1909 and moved to Newport by the Fidelity Lumber Company. It was in continuous service for 55 years, cutting over 1 billion board feet of lumber. In 1964 the engine was donated to the Newport JC's by the Diamond National Corporation to preserve a part of a passing era. The Newport JC's then moved and erected the engine at this site. It was dedicated by Governor Daniel J. Evans June 14, 1965 and presented to the city of Newport.'",1967-04-15,1967-04-15,,information signs; historic sign; steam engine; historic marker,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-14,https://objects.lib.uidaho.edu/whitepine/69_2_I-14.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_i-14_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_i-14_th.jpg,black and white negative,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Newport, Pend Oreille County, WA",Washington,Pend Oreille County,Newport,http://www.geonames.org/5804694/newport.html,48.1819,-117.0354,2016-08-12,2018-05-01,/whitepine/image/143.jp2,whitepine49
Callahan The One Legged Lumberjack,"Anderson, I.V.","A lumberjack named Callahan, who worked for Ohio Match Company, standing in a log chute. The photo was taken at Burnt Cabin Creek in the Coeur d'Alene National Forest. The man's name was mentioned in a letter from Strong to Webb on May 4th 1970.",1927,1927,,lumbermen; handicapped;  chutes;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 132,69_2_B-17,https://objects.lib.uidaho.edu/whitepine/69_2_B-17.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_b-17_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_b-17_th.jpg,black and white print,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Burnt Cabin Mine, Kootenai County, ID",Idaho,Kootenai County,Burnt Cabin Mine,http://www.geonames.org/5587414/burnt-cabin-mine.html,47.7668,-116.5806,2016-08-12,2018-05-01,/whitepine/image/144.jp2,whitepine50
Ruth Turcotte & June DeGraff [02],New York Daily Mirror,"Champion women sawyers, Ruth Turcotte (left) & June DeGraff (right), sawing a dead elm tree in Central Park, New York. Newspaper clipping. Courtesy Ruth Hoerschgen Turcotte, Rose Lake, ID.",1934,1934,,lumbermen; women; Ulmus (genus); winners; clippings (information artifacts);,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-18,https://objects.lib.uidaho.edu/whitepine/69_2_I-18.jpg,https://objects.lib.uidaho.edu/whitepine/small/69_2_i-18_sm.jpg,https://objects.lib.uidaho.edu/whitepine/thumbs/69_2_i-18_th.jpg,black and white copy negative,image/jpeg,Image;StillImage,image,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Central Park, New York County, NY",New York,New York County,Central Park,http://www.geonames.org/5112085/central-park.html,40.783,-73.9651,2016-08-12,2018-05-01,/whitepine/image/145.jp2,whitepine51
