objectid,parentid,title,subject_name,date,description,image_alt_text,event_type,political_affiliation,party_nominee_yes_or_no,president_or_vice_president,election_outcome,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
mg660_box1_1-0001,,William Jennings Bryan,"Bryan, William Jennings",1896,William Jennings Bryan. Democratic Party nominee for President of the United States.,Oval button with a portrait of William Jennings Bryan,President,Democrat,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0001,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0001.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0001.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0001_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0001_th.jpg
mg660_box1_1-0002,,William Jennings Bryan,"Bryan, William Jennings",1900,William Jennings Bryan. Democratic Party nominee for President of the United States.,"Round button with a portrait of William Jennings Bryan, bordered by the US flag.",President,Democrat,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0002,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0002.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0002.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0002_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0002_th.jpg
mg660_box1_1-0003,,William Jennings Bryan,"Bryan, William Jennings",1900,William Jennings Bryan. Democratic Party nominee for President of the United States.,"Round button with a portrait of William Jennings Bryan, bordered by the US stars and stripes.",President,Democrat,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0003,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0003.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0003.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0003_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0003_th.jpg
mg660_box1_1-0004,,William Jennings Bryan,"Bryan, William Jennings",1900,William Jennings Bryan. Democratic Party nominee for President of the United States.,"Round button with a portrait of William Jennings Bryan, bordered by the US stars and stripes.",President,Democrat,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0004,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0004.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0004.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0004_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0004_th.jpg
mg660_box1_1-0005,,Little Pinkies The Colonel,,1896,Pepsin Gum Co. button made by Whitehead and Hoag.,"Round button depicting a cartoon soldier. Includes the text: ""Little Pinkies"" and ""The Colonel.""",Advertisement,,,,,promotional buttons; promotional materials; promotional novelties; promotional pins,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0005,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0005.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0005.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0005_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0005_th.jpg
mg660_box1_1-0006,,No Foreign Alliance No Trusts No Imperialism For U. S.,"Bryan, William Jennings",1900,William Jennings Bryan. Democratic Party nominee for President of the United States.,"Round, white button with blue text that reads: ""No foreign alliance no trusts no imperialism for U. S.""",President,Democrat,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0006,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0006.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0006.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0006_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0006_th.jpg
mg660_box1_1-0007,,"God's Will, Not Ours, Be Done","McKinley, William",1900,William McKinley. Republican Party nominee for President of the United States.,"Round, black button with a portrait of William McKinley and the text: ""God's will, not ours, be done.""",President,Republican,yes,president,won,elections; presidents; political buttons; political pins,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0007,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0007.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0007.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0007_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0007_th.jpg
mg660_box1_1-0008,,William McKinley and Garrett Hobart,"McKinley, William; Hobart, Garrett",1896,William McKinley and Garrett Hobart. Republican Party nominees for President and Vice President of the United States.,"Round button with portraits of William McKinley and Garrett Hobart, bordered by the US stars and stripes.",President; Vice President,Republican,yes,president; vice president,won,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0008,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0008.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0008.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0008_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0008_th.jpg
mg660_box1_1-0009,,Wm McKinley,"McKinley, William",1900,William McKinley. Republican Party nominee for President of the United States.,"Round, gold button with a portrait of William McKinley and the text: ""Wm McKinley.""",President,Republican,yes,president,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0009,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0009.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0009.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0009_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0009_th.jpg
mg660_box1_1-0010,,Wm McKinley,"McKinley, William",1900,William McKinley. Republican Party nominee for President of the United States.,"Round, gold button with a portrait of William McKinley and the text: ""Wm McKinley.""",President,Republican,yes,president,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0010,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0010.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0010.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0010_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0010_th.jpg
