objectid,title,creator,date,archival_date,description,image_alt_text,subject,location,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename_original,filename,display_template,object_location,image_small,image_thumb
engrir269,"Chemical and Biological Engineering Semester Newsletter, Fall 2023",Department of Chemical and Biological Engineering,2023,2023,"Fall 2023 newsletter from the University of Idaho College of Engineering's Department of Chemical and Biological Engineering
",,engineering; newsletters; chemical engineers,"Moscow, Idaho",,chbe-fall-2023-newsletter,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,chbe-fall-2023-newsletter.pdf,chbe-fall-2023-newsletter.pdf,pdf,https://objects.lib.uidaho.edu/engrir/chbe-fall-2023-newsletter.pdf,https://objects.lib.uidaho.edu/engrir/small/chbe-fall-2023-newsletter_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/chbe-fall-2023-newsletter_th.jpg
engrir270,"Chemical and Biological Engineering Semester Newsletter, Fall 2024",Department of Chemical and Biological Engineering,2024,2024,"Fall 2024 newsletter from the University of Idaho College of Engineering's Department of Chemical and Biological Engineering
",,engineering; newsletters; chemical engineers,"Moscow, Idaho",,chbe-fall-24-newsletter,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,chbe-fall-24-newsletter.pdf,chbe-fall-24-newsletter.pdf,pdf,https://objects.lib.uidaho.edu/engrir/chbe-fall-24-newsletter.pdf,https://objects.lib.uidaho.edu/engrir/small/chbe-fall-24-newsletter_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/chbe-fall-24-newsletter_th.jpg
engrir271,"Chemical and Biological Engineering Semester Newsletter, Spring 2022",Department of Chemical and Biological Engineering,2022,2022,Spring 2022 newsletter from the University of Idaho College of Engineering's Department of Chemical and Biological Engineering,,engineering; newsletters; chemical engineers,"Moscow, Idaho",,chbe-newsletter-2022,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,chbe-newsletter-2022.pdf,chbe-newsletter-2022.pdf,pdf,https://objects.lib.uidaho.edu/engrir/chbe-newsletter-2022.pdf,https://objects.lib.uidaho.edu/engrir/small/chbe-newsletter-2022_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/chbe-newsletter-2022_th.jpg
engrir272,"Chemical and Biological Engineering Semester Newsletter, Fall 2022",Department of Chemical and Biological Engineering,2022,2022,"Fall 2022 newsletter from the University of Idaho College of Engineering's Department of Chemical and Biological Engineering
",,engineering; newsletters; chemical engineers,"Moscow, Idaho",,chbe-newsletter-fall-2022,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,chbe-newsletter-fall-2022.pdf,chbe-newsletter-fall-2022.pdf,pdf,https://objects.lib.uidaho.edu/engrir/chbe-newsletter-fall-2022.pdf,https://objects.lib.uidaho.edu/engrir/small/chbe-newsletter-fall-2022_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/chbe-newsletter-fall-2022_th.jpg
engrir273,"Chemical and Biological Engineering Semester Newsletter, Spring 2023",Department of Chemical and Biological Engineering,2023,2023,"Spring 2023 newsletter from the University of Idaho College of Engineering's Department of Chemical and Biological Engineering
",,engineering; newsletters; chemical engineers,"Moscow, Idaho",,chbe-newsletter-spring-2023,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,chbe-newsletter-spring-2023.pdf,chbe-newsletter-spring-2023.pdf,pdf,https://objects.lib.uidaho.edu/engrir/chbe-newsletter-spring-2023.pdf,https://objects.lib.uidaho.edu/engrir/small/chbe-newsletter-spring-2023_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/chbe-newsletter-spring-2023_th.jpg
engrir274,"Chemical and Biological Engineering Semester Newsletter, Spring 2024",Department of Chemical and Biological Engineering,2024,2024,"Spring 2024 newsletter from the University of Idaho College of Engineering's Department of Chemical and Biological Engineering
",,engineering; newsletters; chemical engineers,"Moscow, Idaho",,chbe-newsletter-spring-2024,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,chbe-newsletter-spring-2024.pdf,chbe-newsletter-spring-2024.pdf,pdf,https://objects.lib.uidaho.edu/engrir/chbe-newsletter-spring-2024.pdf,https://objects.lib.uidaho.edu/engrir/small/chbe-newsletter-spring-2024_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/chbe-newsletter-spring-2024_th.jpg
engrir275,"Chemical and Biological Engineering Semester Newsletter, Fall 2021",Department of Chemical and Biological Engineering,2021,2021,"Fall 2021 newsletter from the University of Idaho College of Engineering's Department of Chemical and Biological Engineering
",,engineering; newsletters; chemical engineers,"Moscow, Idaho",,chembioe-newsletter-2021,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,chembioe-newsletter-2021.pdf,chembioe-newsletter-2021.pdf,pdf,https://objects.lib.uidaho.edu/engrir/chembioe-newsletter-2021.pdf,https://objects.lib.uidaho.edu/engrir/small/chembioe-newsletter-2021_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/chembioe-newsletter-2021_th.jpg
engrir276,"Computer Science newsletter, Fall 2024",Department of Computer Science,2024,2024,Fall 2024 newsletter from the University of Idaho College of Engineering's Department of Computer Science,,engineering; computer science; newsletters,"Moscow, Idaho",,fall-24-cs-newsletter,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,fall-24-cs-newsletter.pdf,fall-24-cs-newsletter.pdf,pdf,https://objects.lib.uidaho.edu/engrir/fall-24-cs-newsletter.pdf,https://objects.lib.uidaho.edu/engrir/small/fall-24-cs-newsletter_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/fall-24-cs-newsletter_th.jpg
engrir277,"Mechanical Engineering News, Fall 2016",Department of Mechanical Engineering,2016,2016,Fall 2016 newsletter from the University of Idaho College of Engineering's Department of Mechanical Engineering,,mechanical engineers; newsletters; engineering,"Moscow, Idaho",,me-newsletter-2016-fall,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,me-newsletter-2016-fall.pdf,me-newsletter-2016-fall.pdf,pdf,https://objects.lib.uidaho.edu/engrir/me-newsletter-2016-fall.pdf,https://objects.lib.uidaho.edu/engrir/small/me-newsletter-2016-fall_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/me-newsletter-2016-fall_th.jpg
engrir278,"Mechanical Engineering News, Spring 2016",Department of Mechanical Engineering,2016,2016,Spring 2016 newsletter from the University of Idaho College of Engineering's Department of Mechanical Engineering,,mechanical engineers; newsletters; engineering,"Moscow, Idaho",,me-newsletter-2016-spring,Text,application/pdf,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,me-newsletter-2016-spring.pdf,me-newsletter-2016-spring.pdf,pdf,https://objects.lib.uidaho.edu/engrir/me-newsletter-2016-spring.pdf,https://objects.lib.uidaho.edu/engrir/small/me-newsletter-2016-spring_sm.jpg,https://objects.lib.uidaho.edu/engrir/thumbs/me-newsletter-2016-spring_th.jpg
