title,photographer,description,date,date_approximate,subject (lcsh),subject,location,features,latitude,longitude,source,identifier,rights,rightsstatement,type,format,language,moscow number,fs number,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"An overmature stand 225 years old in Benton Creek Bottom, consisting of western white pine, western larch, western red cedar, and hemlock","Rockwell, Frank I.","From Rockwell's report of 1912 describing the establishment of Priest River Experimental Station.  No registration #; first of four photos; title plate reads: ""The western white pine type at the Priest River Experiment Station.  An overmature stand 225 years old in Benton Creek Bottom, consisting of western white pine, western larch, western red cedar, and hemlock.""",1911,,United States--Idaho--Bonner County--Priest Creek Experimental Station,,"Bonner County, Idaho",Priest Creek Experimental Station,48.35166667,-116.8277778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1912_Establishment_Rockwell_Photo_1,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,545,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/0,0,expforsav0,image,expforsav0.jpg,https://objects.lib.uidaho.edu/expforest/expforsav0.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav0_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav0_th.jpg,
"Priest River Experimental Station, March 1917","Larsen, J. A.","Priest River Experimental Station, March 1917.",1917-03-01,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1917cottages_winter,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1277,35901A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/1,1,expforsav1,image,expforsav1.jpg,https://objects.lib.uidaho.edu/expforest/expforsav1.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav1_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav1_th.jpg,
"Benton Meadow site, south side of meadow","Brewster, D.R.","Plate 5 caption: ""General view of Nursery showing Seed and Transplant Beds."" Plate 6 caption: ""Closer view of Nursery showing Seed Beds and Hardwood Seedlings."" This is the Benton Meadow site, south side of meadow, beside what is now road 597A.",1913,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Meadow,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Meadow,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1913_P3,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,570,15802A & 15801A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/2,2,expforsav2,image,expforsav2.jpg,https://objects.lib.uidaho.edu/expforest/expforsav2.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav2_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav2_th.jpg,
Shows growth during two seasons on good white pine land on level bench near river,"Brewster, D.R.","Plate 7 caption: ""Black Locust ten feet tall, planted as a 2-year seedling 24 inches long, in the spring of 1912.  Shows growth during two seasons on good white pine land on level bench near river.""",1913,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Meadow,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Meadow,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1913_P4,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,571,18070A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/3,3,expforsav3,image,expforsav3.jpg,https://objects.lib.uidaho.edu/expforest/expforsav3.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav3_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav3_th.jpg,
Seedlings on Natural and Burned Surfaces,"Brewster, D.R.","Plate 8 caption: ""Study of Seedlings Growing on Dry Southwest Slope (Mr-1) Contrast between Burned Surface and Natural Vegetation."" Plate 9 caption: ""Sandy Larch Flat; Seedlings on Natural and Burned Surfaces.""",1913,,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,"Bonner County, Idaho",Priest Creek Experimental Forest,48.35527778,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1913_P5,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,572,18068A & 18069A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/4,4,expforsav4,image,expforsav4.jpg,https://objects.lib.uidaho.edu/expforest/expforsav4.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav4_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav4_th.jpg,
Laboratory Building and Cottages 1 and 2,"Brewster, D.R.","20234A: ""Laboratory Building, Newly Painted in 1914."" 20230A: ""Dwelling Cottages."" Otherwise known as Cottages 1 and 2.",1914,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P33,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,573,20234A & 20230A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/5,5,expforsav5,image,expforsav5.jpg,https://objects.lib.uidaho.edu/expforest/expforsav5.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav5_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav5_th.jpg,
"Barn,and hay shed on right.","Brewster, D.R.",Part of Experiment Station Forest,1914,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P34,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,574,20231A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/6,6,expforsav6,image,expforsav6.jpg,https://objects.lib.uidaho.edu/expforest/expforsav6.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav6_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav6_th.jpg,
Meadow Nursery and Benton Nursery,"Brewster, D.R.","20232A: ""Meadow Nursery; Conifer Seed Beds and Rows of Hardwoods."" 20245A: ""Benton Nursery; Conifer Transplants Showing New Form of Stakes.""",1914,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Nursery,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P35,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,575,20232A & 20245A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/7,7,expforsav7,image,expforsav7.jpg,https://objects.lib.uidaho.edu/expforest/expforsav7.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav7_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav7_th.jpg,
Timber clearing near buildings,"Brewster, D.R.","20232A: ""Four-acre field of oats; yellow pine type slope in background."" 20235A: ""Timber clearing near buildings; to be sown to grass and clover.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P36,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,576,20232A & 20235A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/8,8,expforsav8,image,expforsav8.jpg,https://objects.lib.uidaho.edu/expforest/expforsav8.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav8_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav8_th.jpg,
Unthinned White Pine-Larch Stand & Severely Thinned plot,"Brewster, D.R.","20237A: ""Typical Unthinned White Pine-Larch Stand; 1100 Trees per Acre."" 20241A: ""Severely Thinned plot; 316 left per acre; Note the overhead light.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,"Bonner County, Idaho",Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P37,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,577,20237A & 20241A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/9,9,expforsav9,image,expforsav9.jpg,https://objects.lib.uidaho.edu/expforest/expforsav9.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav9_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav9_th.jpg,
