objectid,parentid,title,description,introduction,creator,creators title,date,date is approximate?,section,subject,location,latitude,longitude,publisher,digital collection,source,original_url,national archive number,regional office number,identifier,rights,rightsstatement,format_original,duration,type,format,language,digitization specifications,date digital,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb,object_transcript,transcriber
sbw000,,Powell Ranger Station,"Powell Ranger Station, Photographer Unknown, 1954-09-13",,,,1954-09-13,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics14b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/0,0,image,sbw000.jpg,https://objects.lib.uidaho.edu/sbw/sbw000.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw000_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw000_th.jpg,,
sbw001,,"O'Hara Ranger Station, Nez Perce National Forest","O'Hara Ranger Station, Nez Perce National Forest, Photographer Unknown, 1981",,,,1981,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics21b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/1,1,image,sbw001.jpg,https://objects.lib.uidaho.edu/sbw/sbw001.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw001_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw001_th.jpg,,
sbw002,,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Wolff, M. H., 1925",,"Wolff, M. H.",,1925,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,197338,,R1EngrPics35,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/2,2,image,sbw002.jpg,https://objects.lib.uidaho.edu/sbw/sbw002.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw002_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw002_th.jpg,,
sbw003,,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Photographer Unknown, 1935-07-18",,,,1935-07-18,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics34,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/3,3,image,sbw003.jpg,https://objects.lib.uidaho.edu/sbw/sbw003.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw003_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw003_th.jpg,,
sbw004,,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Swan, K. D., 1938",,"Swan, K. D.",,1938,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,366238,,R1EngrPics37,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/4,4,image,sbw004.jpg,https://objects.lib.uidaho.edu/sbw/sbw004.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw004_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw004_th.jpg,,
sbw005,,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Photographer Unknown, 1937",,,,1937,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics36,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/5,5,image,sbw005.jpg,https://objects.lib.uidaho.edu/sbw/sbw005.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw005_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw005_th.jpg,,
sbw006,,Moose Creek Ranger Station Commissary,"Moose Creek Ranger Station Commissary, Walker, Richard, 1969",,"Walker, Richard",,1969,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,moose_crk_commisary_1969,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/6,6,image,sbw006.jpg,https://objects.lib.uidaho.edu/sbw/sbw006.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw006_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw006_th.jpg,,
sbw007,,Moose Creek Landing Strip,"Moose Creek Landing Strip, Photographer Unknown, 1936",,,,1936,,Wilderness Portraits,airstrip,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,moose_creek_landing_strip,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/7,7,image,sbw007.jpg,https://objects.lib.uidaho.edu/sbw/sbw007.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw007_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw007_th.jpg,,
sbw008,,"Moose Creek Ranger Station, Bitterroot National Forest","Moose Creek Ranger Station, Bitterroot National Forest, Flint, R. S., 1922-07-29",,"Flint, R. S.",,1922-07-29,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,168760,,MooseCreek_1922,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/8,8,image,sbw008.jpg,https://objects.lib.uidaho.edu/sbw/sbw008.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw008_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw008_th.jpg,,
sbw009,,"Allen Ranger Station, Bitterroot National Forest","Allen Ranger Station, Bitterroot National Forest, Theo Shoemaker, 1924",,Theo Shoemaker,,1924,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702148,-114.716774,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility photo files,https://sbw.lib.uidaho.edu/portraits.html,184862,,R1EngrPics1a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/9,9,image,sbw009.jpg,https://objects.lib.uidaho.edu/sbw/sbw009.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw009_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw009_th.jpg,,
