objectid,parentid,title,creator,recipient ,date,approximated_date,archival_date,description,subject,location,latitude,longitude,source,filename,identifier,type,format,format_original,findingaid,digital_collection,contributing_institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,object_transcript
cougar-dave_001,,Legal Description of Taylor Ranch,,,,1935,1931-1939,A document detailing a legal description of the Taylor Ranch.,legal documents; land surveys; ranches,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f1_001.pdf,mg190_b1_f1_001,Text,application/pdf,document,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f1_001.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f1_001_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f1_001_th.jpg,
cougar-dave_002,,Property Purchase Agreement,,,1935-07-01,,01 July 1935,A property purchase agreement between David Lewis and Jess R. Taylor.,legal documents; agreements; purchases; land,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f1_002.pdf,mg190_b1_f1_002,Text,application/pdf,document,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f1_002.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f1_002_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f1_002_th.jpg,
cougar-dave_003,,Illustrated Notecard from Ernest and Grace Miller,"Miller, Ernest; Miller, Grace",,,1920-1939,1920-1939,"Illustrated Christmas notecard from Ernest and Grace Miller, with an handwritten message on the back.",illustrations; notecards; holidays; messages; handwritten,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_001.pdf,mg190_b1_f3_001,Text,application/pdf,card,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_001.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_001_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_001_th.jpg,
cougar-dave_004,,Letter from H.C. Baldridge,"Baldridge, H.C.","Johnstown, Peter G.",1927-11-04,,04 November 1927,"A letter from H.C. Baldridge to Honorable Peter G. Johnstown, about a Mr. Lewis and his compliance to the law.",,"U.S. Land Office, Blackfoot, Idaho",43.19033646,-112.344733,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_002.pdf,mg190_b1_f3_002,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_002.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_002_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_002_th.jpg,
cougar-dave_005,,Letter to Forest Supervisors from F.A. Silcox,"Silcox, F. A.",Forest Supervisors,1910-02-25,,25 February 1910,"Letter from F. A. Silcox to forest supervisors about the process of making a coyote poison, bait, and report process.",letters; supervisors; coyotes; wildlife; poisons; bait; reports,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_003.pdf,mg190_b1_f3_003,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_003.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_003_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_003_th.jpg,
cougar-dave_006,,Letter to David Lewis from George V. Ring [?],"Ring, George V. [?]","Lewis, David",1910-03-14,,14 March 1910,"A letter to a Mr. David Lewis about a statement sheet, oath of office, and poison reciept.",letters; forms; oaths; poisons; reciepts; paperwork (records),"Whitebird, Idaho",45.7615586,-116.2999988,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_004.pdf,mg190_b1_f3_004,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_004.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_004_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_004_th.jpg,
cougar-dave_007,,"Letter to David Lewis from Braim, J. Arthur [?]","Braim, J. Arthur [?]","Lewis, David",1910-04-04,,04 April 1910,A letter to David Lewis about his appointment at Forest Guard (Hunter) becoming effective on April 1.,letters; appointments (organization); forests; hunting,"Goff, Idaho",,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_005.pdf,mg190_b1_f3_005,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_005.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_005_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_005_th.jpg,
cougar-dave_008,,Letter to David Lewis from George V. Ring [?] about Bounties ,"Ring, George V. [?]","Lewis, David",1910-02-28,,28 February 1910,A letter about bounties and animal hides.,letters; wildlife; bounty hunting; animal hides,"Whitebird, Idaho",45.7615586,-116.2999988,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_006.pdf,mg190_b1_f3_006,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_006.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_006_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_006_th.jpg,
cougar-dave_009,,Letter to David Lewis from George V. Ring [?] about a Forest Guard Position,"Ring, George V. [?]","Lewis, Dave",1910-02-23,,23 February 1910,A letter proposing a Forest Guard (Hunter) position to Dave Lewis.,letters; proposals; forests; hunting; jobs,"Whitebird, Idaho",45.7615586,-116.2999988,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_007.pdf,mg190_b1_f3_007,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_007.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_007_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_007_th.jpg,
cougar-dave_010,,Letter to David Lewis from Frederick Weyerhaeuser about a Summer Trip,"Weyerhaeuser, Frederick","Lewis, David",,,undated,A letter about a past summer trip in the wilderness.,letters; trips (travel); journeys; wilderness,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_008.pdf,mg190_b1_f3_008,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_008.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_008_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_008_th.jpg,
