objectid,title,description,date,date is approximate,subject,latitude,longitude,digital collection,source,donor,box number,identifier,rights,rightsstatement,format original,type,format,cdmid,contentdm file name,display_template,filename,object_location,image_small,image_thumb,errors
stonebraker124,Three women at Stonebraker Ranch,Three women and five dogs stand on the wrap around porch of the Stonebraker Ranch.,1928-08-20,,exterior views; log cabins; dogs; women; ranch houses;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 1",26-N01,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3.5x6 black and white film negative,Image;StillImage,image/jpeg,124,125.jp2,image,stonebraker124.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker124.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker124_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker124_th.jpg,""
stonebraker125,Horseback ride in the snow [01],Three men and one woman ride horses through a snowy meadow.,1927,yes,winter; snow; pack baskets; horses; women;,45.150691,-115.422928,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 3",26-N03,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpeg,125,126.jp2,image,stonebraker125.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker125.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker125_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker125_th.jpg,""
stonebraker126,Golda Stonebraker with Zenith airplane [01],Golda Stonebraker holds a dog by the collar while standing near the airplane at the Stonebraker Ranch in the Chamberlain Basin.,1931-09-28,,airplanes; dogs; women;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 4",26-N04,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpeg,126,127.jp2,image,stonebraker126.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker126.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker126_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker126_th.jpg,""
stonebraker127,Airplane at Stonebraker Ranch [01],An airplane sits in front of the Stonebraker homestead. A badger can be seen in the foreground of the photograph.,1928-08-20,,airplanes; log cabins; badgers;,45.372287,-115.199311,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 2",26-N02,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.5x3 black and white negative,Image;StillImage,image/jpeg,127,128.jp2,image,stonebraker127.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker127.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker127_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker127_th.jpg,""
stonebraker128,Camping near Thunder Mountain [01],Man and woman stand in a campsite with two dogs nearby.,1928,yes,camp sites; tents; dogs; women; camping;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 5",26-N06,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpeg,128,129.jp2,image,stonebraker128.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker128.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker128_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker128_th.jpg,""
stonebraker129,"Village of Roosevelt, Idaho [01]","A street view of the mining town Roosevelt, near Thunder Mountain during the height of the gold rush. Wooden buildings line the street.",1902,yes,log cabins; wooden buildings; exterior views; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 46",26-P007,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.5x3.5 black and white print,Image;StillImage,image/jpeg,129,130.jp2,image,stonebraker129.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker129.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker129_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker129_th.jpg,""
stonebraker130,"Village of Roosevelt, Idaho [02]",Village of Roosevelt near Thunder Mountain during the height of the gold rush. A pack train walks down the street with wooden buildings in the background.,1902,yes,log cabins; wooden buildings; exterior views; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 47",26-P008,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpeg,130,131.jp2,image,stonebraker130.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker130.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker130_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker130_th.jpg,""
stonebraker131,Man with rifle,A man holds a rifle in front of a pack train in the forest.,1902,yes,horses; forests; mules; rifles;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 45",26-P006,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpeg,131,132.jp2,image,stonebraker131.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker131.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker131_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker131_th.jpg,""
stonebraker132,Roosevelt landslide and flood [01],Photo caption reads: 'Rising waters of Monumental Creek may be seen slowly inundating towns structures.',1909,yes,landslides; floods; log cabins; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 48",26-P009,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.25x4.25 black and white print,Image;StillImage,image/jpeg,132,133.jp2,image,stonebraker132.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker132.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker132_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker132_th.jpg,""
stonebraker133,Roosevelt landslide and flood [02],Photo caption reads: 'Here the rising waters of Monumental Creek are slowly inundating the mining town of Roosevelt Idaho.',1909,yes,landslides; floods; log cabins; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 49",26-P010,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.25x4.25 black and white print,Image;StillImage,image/jpeg,133,134.jp2,image,stonebraker133.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker133.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker133_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker133_th.jpg,""
