title,creator,description,subject,publisher,date,date is approximate,location,lat long,type,format,language,rights,rightsstatement,filename,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"Some Lived Some Died, It Was Understood","Calnon, Mark",Mark Calnon's memoir being a POW in WWII.,Memoir of POW experience,,1995,yes,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/0,0,1.pdf,/calnon/image/1.pdf,calnon0,pdf,calnon0.pdf,https://objects.lib.uidaho.edu/calnon/calnon0.pdf,https://objects.lib.uidaho.edu/calnon/small/calnon0_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon0_th.jpg,
Calnon 95th Birthday,"Calnon, Mark",Photograph of Calnon on his 95th birthday,Photograph,,2013-08-01,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/1,1,10.jp2,/calnon/image/10.jp2,calnon1,image,calnon1.jpg,https://objects.lib.uidaho.edu/calnon/calnon1.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon1_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon1_th.jpg,
B17 Exterior Photo 4,"Calnon, Mark",Photograph of the exterior of exhibition B20,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/2,2,11.jp2,/calnon/image/11.jp2,calnon2,image,calnon2.jpg,https://objects.lib.uidaho.edu/calnon/calnon2.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon2_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon2_th.jpg,
Calnon Letter to Crew,"Calnon, Mark",Letter to surviving crew with reports.,Scan of Letter,,1992-08-05,,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/3,3,12.pdf,/calnon/image/12.pdf,calnon3,pdf,calnon3.pdf,https://objects.lib.uidaho.edu/calnon/calnon3.pdf,https://objects.lib.uidaho.edu/calnon/small/calnon3_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon3_th.jpg,
B17 Exterior Photo 5,"Calnon, Mark",Photograph of the exterior of exhibition B21,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/4,4,13.jp2,/calnon/image/13.jp2,calnon4,image,calnon4.jpg,https://objects.lib.uidaho.edu/calnon/calnon4.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon4_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon4_th.jpg,
B17 Pilot Controls,"Calnon, Mark",Photographs of pilots controls in exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/5,5,14.jp2,/calnon/image/14.jp2,calnon5,image,calnon5.jpg,https://objects.lib.uidaho.edu/calnon/calnon5.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon5_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon5_th.jpg,
B17 Bomb Bay,"Calnon, Mark",Photograph of empty bomb bay in a exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/6,6,15.jp2,/calnon/image/15.jp2,calnon6,image,calnon6.jpg,https://objects.lib.uidaho.edu/calnon/calnon6.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon6_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon6_th.jpg,
B17 Gun Seat,"Calnon, Mark",Photograph of B17 Gun Seat in exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/7,7,16.jp2,/calnon/image/16.jp2,calnon7,image,calnon7.jpg,https://objects.lib.uidaho.edu/calnon/calnon7.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon7_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon7_th.jpg,
Calnon 384th Reunion,"Calnon, Mark",Photograph of Calnon's Bomber Group years after the war.,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/8,8,17.jp2,/calnon/image/17.jp2,calnon8,image,calnon8.jpg,https://objects.lib.uidaho.edu/calnon/calnon8.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon8_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon8_th.jpg,
B17 Interior,"Calnon, Mark",Photograph of the interior of B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/9,9,18.jp2,/calnon/image/18.jp2,calnon9,image,calnon9.jpg,https://objects.lib.uidaho.edu/calnon/calnon9.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon9_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon9_th.jpg,
