objectid,title,creator,client_sponsor,faculty_advisor,date,archival_date,description,image_alt_text,subject,location,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename_original,filename,display_template,object_location,image_small,image_thumb
expo001,2014 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2014,2014-05-02,Booklet with programming and project information for the 2014 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with white and bronze text. Images on the booklet cover show a series of student engineering projects.,engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2014,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014 EXPO Capstone Booklet.pdf,expobooklet2014.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2014.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2014_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2014_th.jpg
expo002,2015 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2015,2015-05-01,Booklet with programming and project information for the 2015 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with white and bronze text against a photograph of a cube-shaped object containing wires.,engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2015,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2015 EXPO Capstone Booklet.pdf,expobooklet2015.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2015.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2015_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2015_th.jpg
expo003,2016 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2016,2016-04-29,Booklet with programming and project information for the 2016 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with white and bronze text against a photograph of a child operating an engineering project. ,engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2016,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2016 EXPO Capstone Booklet.pdf,expobooklet2016.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2016.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2016_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2016_th.jpg
expo004,2017 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2017,2017-04-28,Booklet with programming and project information for the 2017 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with white and bronze text against an image of a man operating an engineering project. ,engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2017,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2017 EXPO Capstone Booklet.pdf,expobooklet2017.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2017.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2017_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2017_th.jpg
expo005,2018 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2018,2018-04-27,Booklet with programming and project information for the 2018 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with white and gold text on a black background.,engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2018,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2018 EXPO Capstone Booklet.pdf,expobooklet2018.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2018.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2018_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2018_th.jpg
expo006,2019 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2019,2019-04-26,Booklet with programming and project information for the 2019 University of Idaho Engineering Design EXPO.,Cover page of a digital booklet with text and an image of two people looking at an arm-mounted engineering project.,engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2019,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019 EXPO Capstone Booklet.pdf,expobooklet2019.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2019.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2019_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2019_th.jpg
expo007,2020 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2020,2020,Booklet with programming and project information for the 2020 University of Idaho Engineering Design EXPO.,"Cover page of a digital booklet with white, yellow, and black text and photographs of people interacting with different kinds of engineering projects.",engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2020,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2020 EXPO Capstone Booklet.pdf,expobooklet2020.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2020.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2020_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2020_th.jpg
expo008,2021 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2021,2021,Booklet with programming and project information for the 2021 University of Idaho Engineering Design EXPO.,"Cover page of a digital booklet with white, yellow, and black text and photographs of people interacting with different kinds of engineering projects.",engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2021,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2021 EXPO Capstone Booklet.pdf,expobooklet2021.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2021.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2021_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2021_th.jpg
expo009,2022 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2022,2022,Booklet with programming and project information for the 2022 University of Idaho Engineering Design EXPO.,"Cover page of a digital booklet with white, yellow, and black text and photographs of people interacting with different kinds of engineering projects.",engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2022,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2022 EXPO Capstone Booklet.pdf,expobooklet2022.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2022.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2022_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2022_th.jpg
expo010,2023 University of Idaho Engineering Design EXPO Program Guide,University of Idaho College of Engineering,,,2023,2023,Booklet with programming and project information for the 2023 University of Idaho Engineering Design EXPO.,"Cover page of a digital booklet with white, yellow, and black text and photographs of people interacting with different kinds of engineering projects.",engineering; exhibitions (events); booklets; programs (documents),"Moscow, ID","Engineering Design EXPO posters, UG 191, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",expobooklet2023,Text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv920797,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2023 EXPO Capstone Booklet.pdf,expobooklet2023.pdf,pdf,https://objects.lib.uidaho.edu/expo/expobooklet2023.pdf,https://objects.lib.uidaho.edu/expo/small/expobooklet2023_sm.jpg,https://objects.lib.uidaho.edu/expo/thumbs/expobooklet2023_th.jpg
