objectid,parentid,title,creator,date,archival_date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,finding_aid,digital_collection,contributing_institution,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
mg5792_001-001,,Soldier Mountain photos [1],Sheldon Zadok Thayer; Vernice Thayer,,,"Four people eat together at a picnic table next to a campsite. The photo reads: 'Soldier Mountain - Bird Creek Camp. Thayers and Higgins."" The number 213 is stamped on the back of the photograph.",camp sites (recreation spaces); bridges (built works); tents (portable buildings),"Camas County, Idaho",43.6204453,-115.1756345,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_001-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_001-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_001-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_001-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_001-001_th.jpg
mg5792_001-002,,Soldier Mountain photos [2],Sheldon Zadok Thayer; Vernice Thayer,,,"A person wearing hiking gear stands next to a snag and looks out over the mountain. Written on the photo is, ""Soldier Mountain - Shake Creek."" The number 213 is stamped on the back of the photograph.",forests (plant communities); hiking; hiking suits; mountains (landforms),"Camas County, Idaho",43.64452908,-115.1397083,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_001-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_001-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_001-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_001-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_001-002_th.jpg
mg5792_001-003,,Soldier Mountain photos [3],Sheldon Zadok Thayer; Vernice Thayer,,,"A person wearing hiking gear stands on a fallen tree and smiles at the camera. The photo is labelled, ""Soldier Mountain - Shake Creek Area."" The number 213 is stamped on the back of the photograph.",forests (plant communities); hiking; hiking suits; mountains (landforms),"Camas County, Idaho",43.64452908,-115.1397083,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_001-003,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_001-003.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_001-003,https://objects.lib.uidaho.edu/thayer/small/mg5792_001-003_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_001-003_th.jpg
mg5792_002-001,,Stanley Lake photos [1],Sheldon Zadok Thayer; Vernice Thayer,,,A photograph of a mountain range with pine trees in front of it.,mountain ranges; forests (plant communities),,44.24795756,-115.0559567,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_002-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_002-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_002-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_002-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_002-001_th.jpg
mg5792_002-002,,Stanley Lake photos [2],Sheldon Zadok Thayer; Vernice Thayer,,,"A woman wearing long pants and a flannel shirt fishes in a lake with a mountain peak in the background. The photo is captioned, ""Me fishing Stanley Lake."" On the back of the photo, ""Vernice at Stanley"" is written.",fishing; lakes (bodies of water); recreation,"Custer County, Idaho",44.24795756,-115.0559567,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_002-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_002-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_002-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_002-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_002-002_th.jpg
mg5792_002-003,,Stanley Lake photos [3],Sheldon Zadok Thayer; Vernice Thayer,,,"A woman wearing a long skirt stands in front of a lake and smiles at the camera. There is a mountain peak in the background. The photo is captioned, ""Stanley Lake - Mother."" ""Mother at Stanley L"" is written on the back.",lakes (bodies of water); recreation; women (female humans),"Custer County, Idaho",44.24795756,-115.0559567,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_002-003,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_002-003.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_002-003,https://objects.lib.uidaho.edu/thayer/small/mg5792_002-003_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_002-003_th.jpg
mg5792_003-001,,Redwoods photos [1],Sheldon Zadok Thayer; Vernice Thayer,,,"A woman stands on a road in front of trees and smiles at the camera. ""Redwoods"" is written on the photograph. The number 51 is stamped on the back of the photograph.",redwood (plants); women (female humans); trees (woody plants),,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-001_th.jpg
mg5792_003-002,,Redwoods photos [2],Sheldon Zadok Thayer; Vernice Thayer,,,"A chipmunk sits on a rock, under a stand of trees. The number 51 is stamped on the back of the photograph.",Tamias (genus); forests (plant communities); wildlife,,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-002_th.jpg
mg5792_003-003,,Redwoods photos [3],Sheldon Zadok Thayer; Vernice Thayer,,,A sailboat and several canoes navigate an unidentified body of water. The number 51 is stamped on the back of the photograph.,boats; sailboats; canoes,,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-003,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-003.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-003,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-003_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-003_th.jpg
mg5792_003-004,,Redwoods photos [4],Sheldon Zadok Thayer; Vernice Thayer,,,A man holds five fish which have been skewered through the head with a stick. The number 51 is stamped on the back of the photograph.,fishing; men,,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-004,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-004.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-004,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-004_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-004_th.jpg
