objectid,title,photographer,mine,depth,date,description,donor,subject,subject (lctgm),location,source,finding aid,digital collection,holding insititution,format original,format,type,identifier,date digital,language,rights,rightsstatement,digitization specifications,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb,errors
watkins0,Anaconda Mine 1000 ft. level East [no. 1163],"Watkins, Carleton E.",Anaconda Mine,1000,1890,Anaconda Mine 1000 level East. Wealth of ore 45 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1163,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/0,0,1.jp2,/watkins/image/1.jp2,image,watkins0.jpg,https://objects.lib.uidaho.edu/watkins/watkins0.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins0_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins0_th.jpg,""
watkins1,Anaconda Mine 1000 ft. level West [no. 1172],"Watkins, Carleton E.",Anaconda Mine,1000,1890,Anaconda Mine 1000 level West Ore 75 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1172,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/1,1,10.jp2,/watkins/image/10.jp2,image,watkins1.jpg,https://objects.lib.uidaho.edu/watkins/watkins1.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins1_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins1_th.jpg,""
watkins2,Anaconda Mine 900 ft. level West [no. 1173],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level West Ore 80 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1173,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/2,2,11.jp2,/watkins/image/11.jp2,image,watkins2.jpg,https://objects.lib.uidaho.edu/watkins/watkins2.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins2_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins2_th.jpg,""
watkins3,Anaconda Mine 900 ft. level East [no. 1174],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level East Ore 80 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1174,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/3,3,12.jp2,/watkins/image/12.jp2,image,watkins3.jpg,https://objects.lib.uidaho.edu/watkins/watkins3.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins3_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins3_th.jpg,""
watkins4,Anaconda Mine 900 ft. level West [no. 1175],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level West Ore 80 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1175,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/4,4,13.jp2,/watkins/image/13.jp2,image,watkins4.jpg,https://objects.lib.uidaho.edu/watkins/watkins4.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins4_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins4_th.jpg,""
watkins5,Anaconda Mine 900 ft. level East [no. 1176],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level East Wealth of ore 80 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1176,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/5,5,14.jp2,/watkins/image/14.jp2,image,watkins5.jpg,https://objects.lib.uidaho.edu/watkins/watkins5.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins5_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins5_th.jpg,""
watkins6,Anaconda Mine 900 ft. level East [no. 1177],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level East Ore 80 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1177,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/6,6,15.jp2,/watkins/image/15.jp2,image,watkins6.jpg,https://objects.lib.uidaho.edu/watkins/watkins6.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins6_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins6_th.jpg,""
watkins7,Anaconda Mine 900 ft. level East [no. 1178],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level East Ore 80 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1178,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/7,7,16.jp2,/watkins/image/16.jp2,image,watkins7.jpg,https://objects.lib.uidaho.edu/watkins/watkins7.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins7_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins7_th.jpg,""
watkins8,St. Lawrence Mine 800 ft. level West [no. 1179],"Watkins, Carleton E.",St. Lawrence Mine,800,1890,St. Lawrence 800 level West Ore 40 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1179,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/8,8,17.jp2,/watkins/image/17.jp2,image,watkins8.jpg,https://objects.lib.uidaho.edu/watkins/watkins8.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins8_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins8_th.jpg,""
watkins9,St. Lawrence Mine 800 ft. level West [no. 1181],"Watkins, Carleton E.",St. Lawrence Mine,800,1890,St. Lawrence 800 level West Ore 40 ft.,"Conley, Cort","Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.);",Photographic prints,United States;Montana;Silver Bow County;Butte;Anaconda Mine,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv969511,"Carleton Watkins Interior Views of Anaconda Mines (Butte, MT)",University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,89-1181,2011-03,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,Original is archival Tiff. Displayed is a reduced jpeg.,2011-04-07,2018-02-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/watkins/id/9,9,18.jp2,/watkins/image/18.jp2,image,watkins9.jpg,https://objects.lib.uidaho.edu/watkins/watkins9.jpg,https://objects.lib.uidaho.edu/watkins/small/watkins9_sm.jpg,https://objects.lib.uidaho.edu/watkins/thumbs/watkins9_th.jpg,""
