objectid,title,description,original_description,image_alt_text,organizations,subject,original_subject,creator,date,archival_date,location,latitude,longitude,identifier,format_original,format,filename_old,filename,source,type,accession_number,donor,digital_collection,contributing_institution,language,rights,rightsstatement,book,physical_location,display_template,object_location,image_small,image_thumb
priestriver0571,Fire Protection Conclave,"Large group of men from a newspaper photo-names below picture. Typed text: Main Heading: FIRE PROTECTION CONCLAVE - Association operators, PFI foremen met with CTPA and PTPA personnel in June to review summer fire plans on a million acres of forest tree farms and timber growing areas. Chief Fire Warden A. B. Curtis presided at the meeting and Leonard Floan and Geo. Rauch, PFI vice presidents, spoke to the group. Description: Front row: Although not all are identifiable, in the front row kneeling are Leonard Floan, Bill Walker, Clarence Nordby, Wallace Boll, Dwain Chilberg, Mel Bradbury, Tommy Femrite, John Grogan, Bill Wheeler, Al Hanson, Bill Marr, Don Hinton, Bill Cummings, George Harlan, Levon Chase, George Rauch, and A. B. Curtis. List of Names: Royce Cox, Mick Koppang, Doug Curtis, Bob Tondevold, Tim Edwards, Frank Randäll, Mervin Johnson, Whitey Welland, Walt Fields, A. B. Cox, Mick Koppang, Doug Curtis, Bob Tondevold, Tim Edwards, Frank Randäll, Mervin Johnson, Whitey Welland, Walt Fields, A. B. Royse Cox, Mick Koppang, Doug Larry Arneson, George Kolasa, Art Schultz, Frank Cash, Harvey Spears, Clem Pederson, USFS fire control officer, Chuck Toops, Guy Graham, Gordon Dickinson, Elmer Bardwell, Owen Goertzen, Carl DeWard, Gordon Thiessen, Vern Robinson, and Hap Petterson. Date (handwritten): 7-30-64.",,"A large group of people is gathered in front of a building with two large bushes on either side. Some individuals are kneeling in the front, while others are standing behind them. Typed text: Main Heading: FIRE PROTECTION CONCLAVE - Association operators, PFI foremen met with CTPA and PTPA personnel in June to review summer fire plans on a million acres of forest tree farms and timber growing areas. Chief Fire Warden A. B. Curtis presided at the meeting and Leonard Floan and Geo. Rauch, PFI vice presidents, spoke to the group. Description: Front row: Although not all are identifiable, in the front row kneeling are Leonard Floan, Bill Walker, Clarence Nordby, Wallace Boll, Dwain Chilberg, Mel Bradbury, Tommy Femrite, John Grogan, Bill Wheeler, Al Hanson, Bill Marr, Don Hinton, Bill Cummings, George Harlan, Levon Chase, George Rauch, and A. B. Curtis. List of Names: Royce Cox, Mick Koppang, Doug Curtis, Bob Tondevold, Tim Edwards, Frank Randäll, Mervin Johnson, Whitey Welland, Walt Fields, A. B. Cox, Mick Koppang, Doug Curtis, Bob Tondevold, Tim Edwards, Frank Randäll, Mervin Johnson, Whitey Welland, Walt Fields, A. B. Royse Cox, Mick Koppang, Doug Larry Arneson, George Kolasa, Art Schultz, Frank Cash, Harvey Spears, Clem Pederson, USFS fire control officer, Chuck Toops, Guy Graham, Gordon Dickinson, Elmer Bardwell, Owen Goertzen, Carl DeWard, Gordon Thiessen, Vern Robinson, and Hap Petterson. Date (handwritten): 7-30-64.",,newspaper clippings; meetings,logging; hand logging; log decks,,1964,1960-1980,Bonner County,,,log11-82,black and white photograph,image/jpeg,log11-082,log11-082.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,1642,Lee White,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Logging Log 11,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0571.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0571_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0571_th.jpg
priestriver0001,Catholic Church Group,"Large gathering of people arrayed along the side of the white framed church (St. Catherines original building). The occasion was the first communion, and the donor is one of the little girls in a big hat on the right end, (the fourth over with her chin in her hands).","Later moved and became the mormon church, and now belongs to a private party (on Fourth St, across from the elementary school playground).","A large group of people gathered in front of a building with arched windows, possibly a church, with trees on either side. The group includes adults and children, dressed in different styles of clothing.",Catholic Church,churches; religion; children (people by age group),subject,,1925,1925-1930,"Priest River, ID",48.17980898,-116.9104369,rel 1-1,black-and-white photograph,image/jpeg,rel1-001.tif,rel1-001.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,346,Lucille Naccarato,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0001.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0001_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0001_th.jpg
priestriver0002,Congregational Church (1980's),"First Congregational Church taken several years before its demolition in the early 1980's. The sign near the entrance reads: ""Community Congregational Church... Church School... 10:00 A.M. Worship 11:00 A.M.""","The name had recently been changed from the Priest River Congregational-United Church of Christ back to its original name of the Community Congregational Church, after a disagreement with the national United Churches of Christ. The church was organized in 1901 and this building was dedicated in Nov. 1902. After the congregation moved into a new building in 1980, the Trinity Baptists used this building for awhile. In 1919 it was used as a hospital for victims of the flu epidemic.","A church building with a tall bell tower featuring arched openings. The entrance has a small roofed porch with steps leading up to double doors. There are large windows with decorative designs above them. A sign in front of the church reads ""Community Congregational Church."" Shrubs and trees are planted around the building. The sign near the entrance reads: ""Community Congregational Church... Church School... 10:00 A.M. Worship 11:00 A.M.""",Community Congregational Church,churches; religion,churches; religion,,1980,1970-1980,"Priest River, ID",48.17980898,-116.9104369,rel1-2,black-and-white photograph,image/jpeg,rel1-002.jpg,rel1-002.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,413,Community Congregational Church,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0002.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0002_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0002_th.jpg
priestriver0003,Congregational Church 1913,"The old church at the right of a muddy looking street, with buildings in the background and to the left, a team of horses hitched to a tall pole on the left and an indistinct person standing in the road in the center foreground.",,"A figure is standing on a dirt road in front of a large building with a steep roof and a tower, possibly a church. There are horses with carriages parked along the road. Other small buildings are in the background, and trees can be seen in the distance.",Community Congregational Church,churches; religion,churches; religion,,1913,1900-1920,"Priest River, ID",48.17980898,-116.9104369,rel1-3,black-and-white photograph,image/jpeg,rel1-003.jpg,rel1-003.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,440,Community Congregational Church,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0003.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0003_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0003_th.jpg
priestriver0004,Community Baptist Church,"The Community Baptist Church on Hwy 57 at Priest River, taken for the first Bonner County History Book.",,"A rectangular building with a pointed roof and several windows, set in a grassy area with trees surrounding it.",Community Baptist Church,churches; religion,churches; religion,,1989,1989-1990,"Priest River, ID",48.17980898,-116.9104369,rel1-4,black-and-white photograph,image/jpeg,rel1-004.jpg,rel1-004.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,494,Marylyn Cork,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0004.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0004_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0004_th.jpg
priestriver0005,Community Baptist Side View,North side of the Community Baptist Church on Hwy 57.,,"A single-story building with a white exterior and a metal roof, surrounded by trees. It has several windows and a small entrance with a light fixture above it. A chimney extends from the roof on one side, and there is a grassy area in front.",Community Baptist Church,churches; religion,churches; religion,,1989,1989-1990,"Priest River, ID",48.17980898,-116.9104369,rel1-5,black-and-white photograph,image/jpeg,rel1-005.jpg,rel1-005.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,495,Marylyn Cork,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0005.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0005_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0005_th.jpg
priestriver0006,Sunday School 1912,"Priest River Congregational Sunday School. Vivienne Beardmore's the little girl in the big hat standing near center of photo behind 3rd child, George Beardmore seated in front in a row of seated children. Josephine (Gumaer? writing unreadable) is lady in big black hat. ""She looks like an English admiral (Jeanne) at right of doorway on right side of photo.",,"A large group of people, including men, women, and children, stand in front of a building with a porch and arched doorway. The adults are mostly wearing formal clothing and hats, while the children are dressed in a variety of suits and dresses. Some children sit on the ground, while others stand or are held by adults. The building has large windows with decorative panes.",Community Congregational Church,churches; religion; children (people by age group),churches; religion,,1912,1912-1913,"Priest River, ID",48.17980898,-116.9104369,rel1-6,black-and-white photograph,image/jpeg,rel1-006.jpg,rel1-006.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,859,Jeanne Tomlin,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0006.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0006_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0006_th.jpg
priestriver0007,Sunday School No. 2,A large group of children and a few adults standing on the steps of a building with a wooden walkway leading up to it. Vivienne Beardmore about 16 or 17 years stands at right side next to a man who is possibly the Congr. Church minister.,,"A large group of children and a few adults standing on the steps of a building with a wooden walkway leading up to it. The building has an arched entrance and large windows. Some children are seated, while others stand further up the steps, with one man standing to the right of the group.",Community Congregational Church,churches; religion; children (people by age group),churches; religion,,1915,1915-1930,"Priest River, ID",48.17980898,-116.9104369,rel1-7,black-and-white photograph,image/jpeg,rel1-007.jpg,rel1-007.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,860,Jeanne Tomlin,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0007.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0007_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0007_th.jpg
priestriver0008,Marlowe Thompson,Pastor of the Priest River Free Methodist Church at wedding of Tom Moore and Shannon Cork 9-5-92,,"An older man wearing a suit and tie stands outside, holding a book. He has glasses and a pink flower pinned to his jacket. Trees are visible in the background.",Priest River Free Methodist Church,churches; religion; children (people by age group); weddings (ceremonies),churches; religion,,1992,1990-1995,"Priest River, ID",48.17980898,-116.9104369,rel1-8,color photograph,image/jpeg,rel1-008.jpg,rel1-008.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,none,Marylyn Cork,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"Religion, Priest River Churches",Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0008.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0008_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0008_th.jpg
priestriver0009,Man Plowing Field,Black horse hitched to a early walking plow guided by a man. Cutover Hill in background.,,"A man standing in a field holding a plow, which is being pulled by a horse. There are mountains and trees in the background.",,agriculture; operations; machinery; plows (agricultural equipment),churches; religion,Chuck Peterson,,1930-1940,"Priest River, ID",,,agr 1-1,black-and-white photograph,image/jpeg,agr1-001.tif,agr1-001.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,10,M.S.F.S.,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0009.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0009_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0009_th.jpg
