title,description,creator,date,archival_date,date is approximate?,subject,subject (lcsh),location,location (lcsh),latitude,longitude,digital collection,publisher digital,source,identifier,rights,rightsstatement,ordering information,format original,type,format,language,digitization specifications,date digital,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Bird's eye view of Moscow circa 1897 [01],Drawn by Augustus Koch. Accuracy of his work is unbelievable.,"Koch, Augustus, 1840-",1897,,yes,bird's-eye views,Moscow (Idaho)--Aerial views,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732388,-117.000165,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-002,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/0,0,ott0,image,ott0.jpg,https://objects.lib.uidaho.edu/ott/ott0.jpg,https://objects.lib.uidaho.edu/ott/small/ott0_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott0_th.jpg,
"Idaho Hotel, now the New Moter (sic) Hotel",Picture taken 1975. Located southeast corner of A and Main streets.,,1975,,yes,buildings,Hotels--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.73443,-117.00124,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/1,1,ott1,image,ott1.jpg,https://objects.lib.uidaho.edu/ott/ott1.jpg,https://objects.lib.uidaho.edu/ott/small/ott1_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott1_th.jpg,
Badger Store in Moscow,"The ""Badger Store"" owned by David & Ely occupied two rooms of the Spicer Block from 1898 to 1899 when they moved to the Dernham & Kaufmann Building. Spicer Block built in 1898, see date above door. Picture 1898.",,1898,,yes,storefronts; buildings; department stores,"Stores, Retail--Idaho--Moscow","Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-093,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/2,2,ott2,image,ott2.jpg,https://objects.lib.uidaho.edu/ott/ott2.jpg,https://objects.lib.uidaho.edu/ott/small/ott2_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott2_th.jpg,
"Spicer Block, circa 1946","The north two rooms of the Spicer Block as it looked in 1946, Davids' 50th anniversary. The ""Badger Store"" (David & Ely) occupied the two rooms at right of the coffee shop.",,1946,,yes,buildings; cars,Automobiles--Idaho--Moscow; Coffee shops--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-094,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/3,3,ott3,image,ott3.jpg,https://objects.lib.uidaho.edu/ott/ott3.jpg,https://objects.lib.uidaho.edu/ott/small/ott3_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott3_th.jpg,
"Spicer Block, showing The Badger Store","The 'Badger Store' was located in the two rooms at right of the Beneficial Loan room. The Spicer Block as it looked August 26, 1979.",,1979-08-26,,,main streets;  buildings; stores,Central business districts--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-095,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/4,4,ott4,image,ott4.jpg,https://objects.lib.uidaho.edu/ott/ott4.jpg,https://objects.lib.uidaho.edu/ott/small/ott4_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott4_th.jpg,
Looking north at the east side of Main Street from the middle of the block between Second and Third streets,"August 26, 1979 by Clifford M. Ott.","Ott, Clifford M.",1979-08-26,,,main streets; buildings,Central business districts--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-096,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/5,5,ott5,image,ott5.jpg,https://objects.lib.uidaho.edu/ott/ott5.jpg,https://objects.lib.uidaho.edu/ott/small/ott5_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott5_th.jpg,
Davids' mens' department about 1907,"Left to right: Earl David behind counter, B.T. Byrnes, Homer David, F.A. David in derby and Bill Lee, a Moscow attorney.",,1907,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-098,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/6,6,ott6,image,ott6.jpg,https://objects.lib.uidaho.edu/ott/ott6.jpg,https://objects.lib.uidaho.edu/ott/small/ott6_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott6_th.jpg,
Davids Mens Department,Predates picture number 97 [90-2-097]. Homer Estes in front of counter only one identified.,,1907,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-098a,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/7,7,ott7,image,ott7.jpg,https://objects.lib.uidaho.edu/ott/ott7.jpg,https://objects.lib.uidaho.edu/ott/small/ott7_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott7_th.jpg,
Davids' womens' department,"No identification. Pictures 98A and 98B [90-2-098a, 90-2-098b] were copied from badly bleached 8 X 10'.",,1907,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-098b,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/8,8,ott8,image,ott8.jpg,https://objects.lib.uidaho.edu/ott/ott8.jpg,https://objects.lib.uidaho.edu/ott/small/ott8_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott8_th.jpg,
Davids' mens' department in 1940,Davids' mens' department in 1940. Moscow.,,1940,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-099,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/9,9,ott9,image,ott9.jpg,https://objects.lib.uidaho.edu/ott/ott9.jpg,https://objects.lib.uidaho.edu/ott/small/ott9_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott9_th.jpg,
