objectid,parentid,title,date,archival_date,description,relation_is_part_of,image_alt_text,subject,location,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
kooskia001,,"Full scrapbook page, page 01; introductory page.",1944,1943-1945,Page 1 of the Kooskia Internment Camp Scrapbook. Includes one photograph. ,"A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia","Image of a page of the scrapbook. The page is lightly tinted from age. Includes one photo in the upper middle, slightly to the left.","Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 01, item a",Image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page01.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page01.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page01_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page01_th.jpg
kooskia776,,Man in winter at Kooskia,1944,1943-1945,Silhouette of a man looking out at the buildings at Kooskia Internment Camp in winter. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photo of a silhouette of a man looking at buildings in the foreground.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 01, item b",Image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page01_01.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page01_01.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page01_01_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page01_01_th.jpg
kooskia777,,"Full scrapbook page, page 02; buildings, Kooskia (Idaho)",1944,1943-1945,A collection of photographs of the buildings at the camp with a photo of the sign as one is entering the camp area. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page of the scrapbook. The page is lightly tinted from age. Includes four photographs. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 02, item a",Image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page02.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page02.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page02_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page02_th.jpg
kooskia786,,Sign at Kooskia Internment Camp,1944,1943-1945,"Image of sign at Kooskia Internment Camp reading, &quot;U.S. Department of Justice Kooskia Internment Camp Reservation for next 5 miles. No Admission except on official business.&quot; Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia","A black and white photo of a sign from the Kooskia Internment Camp. It reads ""US Department of Justice. Kooskia. Internment Camp Reservation. For next 5 miles. No Admission except on official business.""","Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 02, item b",Image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page02_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page02_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page02_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page02_a_th.jpg
kooskia789,,Buildings at Kooskia showing Canyon Creek and road,1944,1943-1945,Image of buildings and vehicles at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of buildings at the Kooskia internment camp.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 02, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page02_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page02_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page02_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page02_b_th.jpg
kooskia778,,Buildings at Kooskia showing bridge,1944,1943-1945,Image of buildings at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of buildings at the Kooskia internment camp.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 02, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page02_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page02_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page02_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page02_c_th.jpg
kooskia783,,Buildings at Kooskia showing road,1944,1943-1945,Image of buildings at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of buildings at the Kooskia internment camp.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 02, item e",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page02_d.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page02_d.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page02_d_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page02_d_th.jpg
kooskia790,,"Full scrapbook page, page 03: buildings in Kooskia",1944,1943-1945,"Views of the surrounding area near the Kooskia Internment Camp, including the sign at the entrance of the camp and a man fishing in a boat. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page of the scrapbook. The page is lightly tinted from age. Includes four photographs. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 03, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page03.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page03.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page03_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page03_th.jpg
kooskia793,,Sign at entrance of camp in Kooskia,1944,1943-1945,"Image of sign at Kooskia Internment Camp reading, &quot;U.S. Department of Justice Kooskia Internment Camp Reservation for next 3 miles. No admission except on official business&quot;. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia","A black and white image of a sign. It reads ""US Department of Justice. Kooskia. Internment Camp Reservation. For next 3 miles. No Admission except on official business."" A smaller sign sits below it but is too dark to read.","Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 03, item b",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page03_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page03_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page03_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page03_a_th.jpg
kooskia780,,Buildings by Lochsa River in Kooskia,1944,1943-1945,Image of buildings at Kooskia Internment Camp with the Lochsa Lochsa River in the background. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph the Lochsa River and Kooskia camp building in the foreground.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 03, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page03_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page03_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page03_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page03_b_th.jpg
