title,description,creator,recipient,point of origin,date,date is approximate,subject,latitude,longitude,source,identifier,rights,rightsstatement,format original,type,format,language,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,object_transcript
Passenger Car Approaching,"A photograph of a man driving a passenger car. The photo is taken headon, showing the car approaching. Pictured on the car are two men, one dressed in a professional suit, another in clothing that appears to suit that of a railroad worker.","Cash, Earl",,,1905-04-13,,passenger cars (railroad cars); railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_005,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/0,0,37.jp2,/riegger/image/37.jp2,riegger0,image,riegger0.jpg,https://objects.lib.uidaho.edu/riegger/riegger0.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger0_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger0_th.jpg,
Steam Driven Winch,Steam driven winch on the edge of the Winchester Lake.,Winchester Museum,,,,,lakes; logs; winches; horses; workers,46.23958325,-116.6234488,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_009,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/1,1,131.jp2,/riegger/image/131.jp2,riegger1,image,riegger1.jpg,https://objects.lib.uidaho.edu/riegger/riegger1.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger1_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger1_th.jpg,
Freight Train in the Snow,A color photograph of a freight train going down the tracks in some snowy woods.,Don Wayt,,,,,freight trains; railroads (infrastructure); trees,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_022,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/2,2,19.jp2,/riegger/image/19.jp2,riegger2,image,riegger2.jpg,https://objects.lib.uidaho.edu/riegger/riegger2.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger2_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger2_th.jpg,
Freight Car off the Tracks,A color photograph of what appears to be a runaway freight car covered in snow.,Don Wayt,,,,,freight cars; logs; trees,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_021a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/3,3,503.jp2,/riegger/image/503.jp2,riegger3,image,riegger3.jpg,https://objects.lib.uidaho.edu/riegger/riegger3.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger3_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger3_th.jpg,
Threshing Crew,Pictured is a threshing crew and equipment on the Camas Prairie,Winchester Museum,,,1915,,horses; wheat; threshing crews; carts,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_014,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/4,4,487.jp2,/riegger/image/487.jp2,riegger4,image,riegger4.jpg,https://objects.lib.uidaho.edu/riegger/riegger4.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger4_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger4_th.jpg,
Construction On Bridge 38,A photograph of construction workers taking a break while sitting on a suspended metal bar intended for the construction of bridge 38 of the Camas Prairie Railroad.,"Cash, Earl",,,1905-04-25,,construction (assembling); freight trains; railroads (infrastructure),46.151777,-116.390602,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_010,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/5,5,382.jp2,/riegger/image/382.jp2,riegger5,image,riegger5.jpg,https://objects.lib.uidaho.edu/riegger/riegger5.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger5_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger5_th.jpg,
Snowy Landscape,"A color photograph of a snowy landscape, assumed to have been taken from a train.",Don Wayt,,,,,snows; trains,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_018,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/6,6,198.jp2,/riegger/image/198.jp2,riegger6,image,riegger6.jpg,https://objects.lib.uidaho.edu/riegger/riegger6.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger6_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger6_th.jpg,
Grangeville Local With Extra Load [2],A photograph of Grangeville Local loaded down with extra rail box borders leaving Forebay. The R-Box cars to be stored on the Nez Perce Railroad.,"Morefield, Jim",,,1981-04-01,,color photographs; freight trains; railroads (infrastructure),46.42308,-116.959126,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F24_010,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/7,7,156.jp2,/riegger/image/156.jp2,riegger7,image,riegger7.jpg,https://objects.lib.uidaho.edu/riegger/riegger7.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger7_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger7_th.jpg,
Granite Rock Slide,A photograph of the damage to newly laid railroad tracks in the aftermath of a granite rock slide.,"Cash, Earl",,,1905,yes,freight trains; railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_025,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/8,8,491.jp2,/riegger/image/491.jp2,riegger8,image,riegger8.jpg,https://objects.lib.uidaho.edu/riegger/riegger8.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger8_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger8_th.jpg,
"Letter from Wally Meckstroth to Hal Riegger, November 17, 1983","Correspondence between Wally Meckstroth and Hal Riegger providing information about a list of photographs relating to the Nez Perce Railroad. There is little information about the photographs, as it was difficult to track down individuals knowing information, as they were all aged and dying.","Meckstroth, Wally","Riegger, Hal",United States; Idaho;,1983-11-17,,freight trains; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/9,9,441.pdf,/riegger/image/441.pdf,riegger9,pdf,riegger9.pdf,https://objects.lib.uidaho.edu/riegger/riegger9.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger9_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger9_th.jpg,
