objectid,parentid,title,description,creator,creators title,date,date is approximate?,section,subject,location,latitude,longitude,publisher,digital collection,source,original_link,national archive number,regional office number,identifier,rights,rightsstatement,format_original,duration,type,format,language,digitization specifications,date digital,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb,object_transcript
sbw-gallery-001,sbw319,Art Seamans with Tag and Rex,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/11/28/diplomacy/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/11/ranger-art-seamans-with-tag-and-percy-mc7-75.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/11/arttagrex.jpg,,,Selway-Podcast-ep44,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-001.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-001.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-001_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-001_th.jpg,
sbw-gallery-002,sbw319,Art Seamans,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/11/28/diplomacy/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/11/ranger-art-seamans-with-tag-and-percy-mc7-75.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/11/moosecreek18.jpg,,,Selway-Podcast-ep44,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-002.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-002.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-002_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-002_th.jpg,
sbw-gallery-003,sbw319,"Ranger Art Seamans with Tag and Percy. Moose Creek, July 1975",,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/11/28/diplomacy/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/11/ranger-art-seamans-with-tag-and-percy-mc7-75.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/11/ranger-art-seamans-with-tag-and-percy-mc7-75.jpg,,,Selway-Podcast-ep44,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-003.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-003.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-003_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-003_th.jpg,
sbw-gallery-004,sbw320,"Bitterroot flowers. Native American names included spetlum or spetlem, meaning “bitter”. The roots were consumed by tribes such as the Shoshone and the Flathead Indians as an infrequent delicacy. Scientific name: Lewisia rediviva after Meriwether Lewis.",,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/08/13/ancient-communities-of-the-selway-bitterroot-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/vernon-in-museum-standing-next-to-quote-from-lc-journals.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/4fcfebadcb4ba-preview-620.jpg,,,Selway-Podcast-ep43,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-004.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-004.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-004_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-004_th.jpg,
sbw-gallery-005,sbw320,A Juvenile Spotted Sandpiper in the waters of Lolo Creek. Photo courtesy of the TRSP facebook page.,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/08/13/ancient-communities-of-the-selway-bitterroot-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/vernon-in-museum-standing-next-to-quote-from-lc-journals.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/babybird1.jpg,,,Selway-Podcast-ep43,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-005.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-005.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-005_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-005_th.jpg,
sbw-gallery-006,sbw320,A female Yellow Warbler at Travelers' Rest State Park. Photo courtesy of the TRSP facebook page.,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/08/13/ancient-communities-of-the-selway-bitterroot-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/vernon-in-museum-standing-next-to-quote-from-lc-journals.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/bird1.jpg,,,Selway-Podcast-ep43,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-006.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-006.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-006_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-006_th.jpg,
sbw-gallery-007,sbw320,"Bitterroot flowers, the plant that gave its name to the area.",,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/08/13/ancient-communities-of-the-selway-bitterroot-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/vernon-in-museum-standing-next-to-quote-from-lc-journals.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/bitterroots.jpg,,,Selway-Podcast-ep43,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-007.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-007.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-007_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-007_th.jpg,
sbw-gallery-008,sbw320,Two young deer at Travelers' Rest State Park. Photo courtesy of the TRSP facebook page.,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/08/13/ancient-communities-of-the-selway-bitterroot-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/vernon-in-museum-standing-next-to-quote-from-lc-journals.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/deer1.jpg,,,Selway-Podcast-ep43,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-008.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-008.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-008_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-008_th.jpg,
sbw-gallery-009,sbw320,Students from Lewis and Clark school in Missoula at Travelers' Rest playing traditional native games that children centuries earlier used to hone future hunting skills. Photo courtesy of the TRSP facebook page.,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/08/13/ancient-communities-of-the-selway-bitterroot-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/vernon-in-museum-standing-next-to-quote-from-lc-journals.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/kids1.jpg,,,Selway-Podcast-ep43,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-009.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-009.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-009_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-009_th.jpg,
sbw-gallery-010,sbw320,A female and male Mallard duck at Travelers' Rest State Park. Photo courtesy of the TRSP facebook page.,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/08/13/ancient-communities-of-the-selway-bitterroot-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/vernon-in-museum-standing-next-to-quote-from-lc-journals.jpg; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/08/mallards1.jpg,,,Selway-Podcast-ep43,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,image,sbw-gallery-010.jpg,https://objects.lib.uidaho.edu/sbw/sbw-gallery-010.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw-gallery-010_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw-gallery-010_th.jpg,
